y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
20,1496,77,40,40,0,0.0267379679144385,1.0,0.5194805194805194,1,components,17,train,qth_0.5
21,1455,43,26,26,0,0.0178694158075601,1.0,0.6046511627906976,1,components,17,train,qth_0.5
22,1527,19,10,10,0,0.0065487884741322,1.0,0.5263157894736842,1,components,17,train,qth_0.5
23,1467,27,18,18,0,0.0122699386503067,1.0,0.6666666666666666,1,components,17,train,qth_0.5
24,1486,23,14,14,0,0.0094212651413189,1.0,0.6086956521739131,1,components,17,train,qth_0.5
25,1503,56,39,39,0,0.0259481037924151,1.0,0.6964285714285714,1,components,17,train,qth_0.5
26,1532,16,13,13,0,0.008485639686684,1.0,0.8125,1,components,17,train,qth_0.5
27,1519,28,18,18,0,0.0118499012508229,1.0,0.6428571428571429,1,components,17,train,qth_0.5
28,1496,30,19,19,0,0.0127005347593582,1.0,0.6333333333333333,1,components,17,train,qth_0.5
29,1496,17,10,10,0,0.0066844919786096,1.0,0.5882352941176471,1,components,17,train,qth_0.5
30,1508,12,7,7,0,0.0046419098143236,1.0,0.5833333333333334,1,components,17,train,qth_0.5
31,1472,62,40,40,0,0.0271739130434782,1.0,0.6451612903225806,1,components,17,train,qth_0.5
32,1473,15,10,10,0,0.0067888662593346,1.0,0.6666666666666666,1,components,17,train,qth_0.5
33,1464,145,67,67,0,0.0457650273224043,1.0,0.46206896551724136,1,components,17,train,qth_0.5
34,1519,97,40,40,0,0.0263331138907175,1.0,0.41237113402061853,1,components,17,train,qth_0.5
35,1492,11,7,7,0,0.0046916890080428,1.0,0.6363636363636364,1,components,17,train,qth_0.5
36,1484,119,59,59,0,0.0397574123989218,1.0,0.4957983193277311,1,components,17,train,qth_0.5
37,1475,100,40,40,0,0.0271186440677966,1.0,0.4,1,components,17,train,qth_0.5
38,1401,93,45,45,0,0.032119914346895,1.0,0.4838709677419355,1,components,17,train,qth_0.5
39,1541,111,34,34,0,0.0220635950681375,1.0,0.3063063063063063,1,components,17,train,qth_0.5
40,1489,21,12,12,0,0.0080591000671591,1.0,0.5714285714285714,1,components,17,train,qth_0.5
41,1461,23,13,13,0,0.0088980150581793,1.0,0.5652173913043478,1,components,17,train,qth_0.5
42,1432,22,10,10,0,0.0069832402234636,1.0,0.45454545454545453,1,components,17,train,qth_0.5
all,63968,1983,1059,1059,0,0.0165551525762881,1.0,0.5340393343419062,1,components,17,train,qth_0.5
0,1538,22,9,9,0,0.0058517555266579,1.0,0.4090909090909091,2,components,17,train,qth_0.5
1,1483,83,56,56,0,0.0377612946729602,1.0,0.6746987951807228,2,components,17,train,qth_0.5
2,1473,85,48,48,0,0.0325865580448065,1.0,0.5647058823529412,2,components,17,train,qth_0.5
3,1478,68,42,42,0,0.0284167794316644,1.0,0.6176470588235294,2,components,17,train,qth_0.5
4,1528,75,45,45,0,0.0294502617801047,1.0,0.6,2,components,17,train,qth_0.5
5,1401,150,89,89,0,0.0635260528194147,1.0,0.5933333333333334,2,components,17,train,qth_0.5
6,1521,13,7,7,0,0.0046022353714661,1.0,0.5384615384615384,2,components,17,train,qth_0.5
7,1508,58,38,38,0,0.0251989389920424,1.0,0.6551724137931034,2,components,17,train,qth_0.5
8,1497,30,16,16,0,0.010688042752171,1.0,0.5333333333333333,2,components,17,train,qth_0.5
9,1521,29,15,15,0,0.009861932938856,1.0,0.5172413793103449,2,components,17,train,qth_0.5
10,1447,29,20,20,0,0.0138217000691085,1.0,0.6896551724137931,2,components,17,train,qth_0.5
11,1485,27,12,12,0,0.008080808080808,1.0,0.4444444444444444,2,components,17,train,qth_0.5
12,1478,13,10,10,0,0.006765899864682,1.0,0.7692307692307693,2,components,17,train,qth_0.5
13,1477,8,6,6,0,0.0040622884224779,1.0,0.75,2,components,17,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,2,components,17,train,qth_0.5
15,1460,10,6,6,0,0.0041095890410958,1.0,0.6,2,components,17,train,qth_0.5
16,1455,9,3,3,0,0.002061855670103,1.0,0.3333333333333333,2,components,17,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,2,components,17,train,qth_0.5
18,1563,28,20,20,0,0.0127959053103007,1.0,0.7142857142857143,2,components,17,train,qth_0.5
19,1504,78,25,25,0,0.0166223404255319,1.0,0.32051282051282054,2,components,17,train,qth_0.5
20,1496,77,40,40,0,0.0267379679144385,1.0,0.5194805194805194,2,components,17,train,qth_0.5
21,1455,43,26,26,0,0.0178694158075601,1.0,0.6046511627906976,2,components,17,train,qth_0.5
22,1527,19,10,10,0,0.0065487884741322,1.0,0.5263157894736842,2,components,17,train,qth_0.5
23,1467,27,18,18,0,0.0122699386503067,1.0,0.6666666666666666,2,components,17,train,qth_0.5
24,1486,23,14,14,0,0.0094212651413189,1.0,0.6086956521739131,2,components,17,train,qth_0.5
25,1503,56,39,39,0,0.0259481037924151,1.0,0.6964285714285714,2,components,17,train,qth_0.5
26,1532,16,13,13,0,0.008485639686684,1.0,0.8125,2,components,17,train,qth_0.5
27,1519,28,18,18,0,0.0118499012508229,1.0,0.6428571428571429,2,components,17,train,qth_0.5
28,1496,30,19,19,0,0.0127005347593582,1.0,0.6333333333333333,2,components,17,train,qth_0.5
29,1496,17,10,10,0,0.0066844919786096,1.0,0.5882352941176471,2,components,17,train,qth_0.5
30,1508,12,7,7,0,0.0046419098143236,1.0,0.5833333333333334,2,components,17,train,qth_0.5
31,1472,62,40,40,0,0.0271739130434782,1.0,0.6451612903225806,2,components,17,train,qth_0.5
32,1473,15,10,10,0,0.0067888662593346,1.0,0.6666666666666666,2,components,17,train,qth_0.5
33,1464,145,67,67,0,0.0457650273224043,1.0,0.46206896551724136,2,components,17,train,qth_0.5
34,1519,97,40,40,0,0.0263331138907175,1.0,0.41237113402061853,2,components,17,train,qth_0.5
35,1492,11,7,7,0,0.0046916890080428,1.0,0.6363636363636364,2,components,17,train,qth_0.5
36,1484,119,59,59,0,0.0397574123989218,1.0,0.4957983193277311,2,components,17,train,qth_0.5
37,1475,100,40,40,0,0.0271186440677966,1.0,0.4,2,components,17,train,qth_0.5
38,1401,93,45,45,0,0.032119914346895,1.0,0.4838709677419355,2,components,17,train,qth_0.5
39,1541,111,34,34,0,0.0220635950681375,1.0,0.3063063063063063,2,components,17,train,qth_0.5
40,1489,21,12,12,0,0.0080591000671591,1.0,0.5714285714285714,2,components,17,train,qth_0.5
41,1461,23,13,13,0,0.0088980150581793,1.0,0.5652173913043478,2,components,17,train,qth_0.5
42,1432,22,10,10,0,0.0069832402234636,1.0,0.45454545454545453,2,components,17,train,qth_0.5
all,63968,1983,1059,1059,0,0.0165551525762881,1.0,0.5340393343419062,2,components,17,train,qth_0.5
0,1538,22,9,9,0,0.0058517555266579,1.0,0.4090909090909091,3,components,17,train,qth_0.5
1,1483,83,56,56,0,0.0377612946729602,1.0,0.6746987951807228,3,components,17,train,qth_0.5
2,1473,85,48,48,0,0.0325865580448065,1.0,0.5647058823529412,3,components,17,train,qth_0.5
3,1478,68,42,42,0,0.0284167794316644,1.0,0.6176470588235294,3,components,17,train,qth_0.5
4,1528,75,45,45,0,0.0294502617801047,1.0,0.6,3,components,17,train,qth_0.5
5,1401,150,89,89,0,0.0635260528194147,1.0,0.5933333333333334,3,components,17,train,qth_0.5
6,1521,13,7,7,0,0.0046022353714661,1.0,0.5384615384615384,3,components,17,train,qth_0.5
7,1508,58,38,38,0,0.0251989389920424,1.0,0.6551724137931034,3,components,17,train,qth_0.5
8,1497,30,16,16,0,0.010688042752171,1.0,0.5333333333333333,3,components,17,train,qth_0.5
9,1521,29,15,15,0,0.009861932938856,1.0,0.5172413793103449,3,components,17,train,qth_0.5
10,1447,29,20,20,0,0.0138217000691085,1.0,0.6896551724137931,3,components,17,train,qth_0.5
11,1485,27,12,12,0,0.008080808080808,1.0,0.4444444444444444,3,components,17,train,qth_0.5
12,1478,13,10,10,0,0.006765899864682,1.0,0.7692307692307693,3,components,17,train,qth_0.5
13,1477,8,6,6,0,0.0040622884224779,1.0,0.75,3,components,17,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,3,components,17,train,qth_0.5
15,1460,10,6,6,0,0.0041095890410958,1.0,0.6,3,components,17,train,qth_0.5
16,1455,9,3,3,0,0.002061855670103,1.0,0.3333333333333333,3,components,17,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,3,components,17,train,qth_0.5
18,1563,28,20,20,0,0.0127959053103007,1.0,0.7142857142857143,3,components,17,train,qth_0.5
19,1504,78,25,25,0,0.0166223404255319,1.0,0.32051282051282054,3,components,17,train,qth_0.5
