y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,56,56,0,0.0094546682424447,1.0,0.9655172413793104,0,,30,train,qth_0.75
1,6742,101,85,85,0,0.0126075348561257,1.0,0.8415841584158416,0,,30,train,qth_0.75
2,5958,270,249,249,0,0.0417925478348439,1.0,0.9222222222222223,0,,30,train,qth_0.75
3,6131,201,188,188,0,0.0306638395041591,1.0,0.9353233830845771,0,,30,train,qth_0.75
4,5842,278,225,225,0,0.0385142074631975,1.0,0.8093525179856115,0,,30,train,qth_0.75
5,5421,133,124,124,0,0.0228740084855192,1.0,0.9323308270676691,0,,30,train,qth_0.75
6,5918,131,121,121,0,0.020446096654275,1.0,0.9236641221374046,0,,30,train,qth_0.75
7,6265,162,148,148,0,0.0236233040702314,1.0,0.9135802469135802,0,,30,train,qth_0.75
8,5851,239,227,227,0,0.0387967868740386,1.0,0.9497907949790795,0,,30,train,qth_0.75
9,5949,230,215,215,0,0.0361405278198016,1.0,0.9347826086956522,0,,30,train,qth_0.75
all,60000,1803,1638,1638,0,0.0273,1.0,0.908485856905158,0,,30,train,qth_0.75
0,5923,58,56,56,0,0.0094546682424447,1.0,0.9655172413793104,1,,30,train,qth_0.75
1,6742,101,85,85,0,0.0126075348561257,1.0,0.8415841584158416,1,,30,train,qth_0.75
2,5958,270,249,249,0,0.0417925478348439,1.0,0.9222222222222223,1,,30,train,qth_0.75
3,6131,201,188,188,0,0.0306638395041591,1.0,0.9353233830845771,1,,30,train,qth_0.75
4,5842,278,225,225,0,0.0385142074631975,1.0,0.8093525179856115,1,,30,train,qth_0.75
5,5421,133,124,124,0,0.0228740084855192,1.0,0.9323308270676691,1,,30,train,qth_0.75
6,5918,131,121,121,0,0.020446096654275,1.0,0.9236641221374046,1,,30,train,qth_0.75
7,6265,162,148,148,0,0.0236233040702314,1.0,0.9135802469135802,1,,30,train,qth_0.75
8,5851,239,227,227,0,0.0387967868740386,1.0,0.9497907949790795,1,,30,train,qth_0.75
9,5949,230,215,215,0,0.0361405278198016,1.0,0.9347826086956522,1,,30,train,qth_0.75
all,60000,1803,1638,1638,0,0.0273,1.0,0.908485856905158,1,,30,train,qth_0.75
0,5923,58,56,56,0,0.0094546682424447,1.0,0.9655172413793104,2,,30,train,qth_0.75
1,6742,101,85,85,0,0.0126075348561257,1.0,0.8415841584158416,2,,30,train,qth_0.75
2,5958,270,249,249,0,0.0417925478348439,1.0,0.9222222222222223,2,,30,train,qth_0.75
3,6131,201,188,188,0,0.0306638395041591,1.0,0.9353233830845771,2,,30,train,qth_0.75
4,5842,278,225,225,0,0.0385142074631975,1.0,0.8093525179856115,2,,30,train,qth_0.75
5,5421,133,124,124,0,0.0228740084855192,1.0,0.9323308270676691,2,,30,train,qth_0.75
6,5918,131,121,121,0,0.020446096654275,1.0,0.9236641221374046,2,,30,train,qth_0.75
7,6265,162,148,148,0,0.0236233040702314,1.0,0.9135802469135802,2,,30,train,qth_0.75
8,5851,239,227,227,0,0.0387967868740386,1.0,0.9497907949790795,2,,30,train,qth_0.75
9,5949,230,215,215,0,0.0361405278198016,1.0,0.9347826086956522,2,,30,train,qth_0.75
all,60000,1803,1638,1638,0,0.0273,1.0,0.908485856905158,2,,30,train,qth_0.75
0,5923,58,56,56,0,0.0094546682424447,1.0,0.9655172413793104,3,,30,train,qth_0.75
1,6742,101,85,85,0,0.0126075348561257,1.0,0.8415841584158416,3,,30,train,qth_0.75
2,5958,270,249,249,0,0.0417925478348439,1.0,0.9222222222222223,3,,30,train,qth_0.75
3,6131,201,188,188,0,0.0306638395041591,1.0,0.9353233830845771,3,,30,train,qth_0.75
4,5842,278,225,225,0,0.0385142074631975,1.0,0.8093525179856115,3,,30,train,qth_0.75
5,5421,133,124,124,0,0.0228740084855192,1.0,0.9323308270676691,3,,30,train,qth_0.75
6,5918,131,121,121,0,0.020446096654275,1.0,0.9236641221374046,3,,30,train,qth_0.75
7,6265,162,148,148,0,0.0236233040702314,1.0,0.9135802469135802,3,,30,train,qth_0.75
8,5851,239,227,227,0,0.0387967868740386,1.0,0.9497907949790795,3,,30,train,qth_0.75
9,5949,230,215,215,0,0.0361405278198016,1.0,0.9347826086956522,3,,30,train,qth_0.75
all,60000,1803,1638,1638,0,0.0273,1.0,0.908485856905158,3,,30,train,qth_0.75
0,979,7,635,7,628,0.6486210418794689,0.011023622047244,1.0,0,,30,test,qth_0.75
1,1133,8,281,8,273,0.2480141218005295,0.0284697508896797,1.0,0,,30,test,qth_0.75
2,1030,45,898,43,855,0.8718446601941747,0.0478841870824053,0.9555555555555556,0,,30,test,qth_0.75
3,1008,32,823,30,793,0.816468253968254,0.0364520048602673,0.9375,0,,30,test,qth_0.75
4,980,33,704,26,678,0.7183673469387755,0.0369318181818181,0.7878787878787878,0,,30,test,qth_0.75
5,890,18,749,17,732,0.8415730337078652,0.0226969292389853,0.9444444444444444,0,,30,test,qth_0.75
6,956,31,690,28,662,0.7217573221757322,0.0405797101449275,0.9032258064516129,0,,30,test,qth_0.75
7,1027,36,711,35,676,0.6923076923076923,0.0492264416315049,0.9722222222222222,0,,30,test,qth_0.75
8,973,36,796,33,763,0.8180883864337102,0.0414572864321608,0.9166666666666666,0,,30,test,qth_0.75
9,1008,38,631,36,595,0.6259920634920635,0.0570522979397781,0.9473684210526315,0,,30,test,qth_0.75
all,9984,284,6918,263,6655,0.6929086538461539,0.0380167678519803,0.926056338028169,0,,30,test,qth_0.75
0,979,7,635,7,628,0.6486210418794689,0.011023622047244,1.0,1,,30,test,qth_0.75
1,1133,8,281,8,273,0.2480141218005295,0.0284697508896797,1.0,1,,30,test,qth_0.75
2,1030,45,898,43,855,0.8718446601941747,0.0478841870824053,0.9555555555555556,1,,30,test,qth_0.75
3,1008,32,823,30,793,0.816468253968254,0.0364520048602673,0.9375,1,,30,test,qth_0.75
4,980,33,704,26,678,0.7183673469387755,0.0369318181818181,0.7878787878787878,1,,30,test,qth_0.75
5,890,18,749,17,732,0.8415730337078652,0.0226969292389853,0.9444444444444444,1,,30,test,qth_0.75
6,956,31,690,28,662,0.7217573221757322,0.0405797101449275,0.9032258064516129,1,,30,test,qth_0.75
7,1027,36,711,35,676,0.6923076923076923,0.0492264416315049,0.9722222222222222,1,,30,test,qth_0.75
8,973,36,796,33,763,0.8180883864337102,0.0414572864321608,0.9166666666666666,1,,30,test,qth_0.75
9,1008,38,631,36,595,0.6259920634920635,0.0570522979397781,0.9473684210526315,1,,30,test,qth_0.75
all,9984,284,6918,263,6655,0.6929086538461539,0.0380167678519803,0.926056338028169,1,,30,test,qth_0.75
0,979,7,635,7,628,0.6486210418794689,0.011023622047244,1.0,2,,30,test,qth_0.75
1,1133,8,281,8,273,0.2480141218005295,0.0284697508896797,1.0,2,,30,test,qth_0.75
2,1030,45,898,43,855,0.8718446601941747,0.0478841870824053,0.9555555555555556,2,,30,test,qth_0.75
3,1008,32,823,30,793,0.816468253968254,0.0364520048602673,0.9375,2,,30,test,qth_0.75
4,980,33,704,26,678,0.7183673469387755,0.0369318181818181,0.7878787878787878,2,,30,test,qth_0.75
5,890,18,749,17,732,0.8415730337078652,0.0226969292389853,0.9444444444444444,2,,30,test,qth_0.75
6,956,31,690,28,662,0.7217573221757322,0.0405797101449275,0.9032258064516129,2,,30,test,qth_0.75
7,1027,36,711,35,676,0.6923076923076923,0.0492264416315049,0.9722222222222222,2,,30,test,qth_0.75
8,973,36,796,33,763,0.8180883864337102,0.0414572864321608,0.9166666666666666,2,,30,test,qth_0.75
9,1008,38,631,36,595,0.6259920634920635,0.0570522979397781,0.9473684210526315,2,,30,test,qth_0.75
all,9984,284,6918,263,6655,0.6929086538461539,0.0380167678519803,0.926056338028169,2,,30,test,qth_0.75
0,979,7,635,7,628,0.6486210418794689,0.011023622047244,1.0,3,,30,test,qth_0.75
1,1133,8,281,8,273,0.2480141218005295,0.0284697508896797,1.0,3,,30,test,qth_0.75
2,1030,45,898,43,855,0.8718446601941747,0.0478841870824053,0.9555555555555556,3,,30,test,qth_0.75
3,1008,32,823,30,793,0.816468253968254,0.0364520048602673,0.9375,3,,30,test,qth_0.75
4,980,33,704,26,678,0.7183673469387755,0.0369318181818181,0.7878787878787878,3,,30,test,qth_0.75
5,890,18,749,17,732,0.8415730337078652,0.0226969292389853,0.9444444444444444,3,,30,test,qth_0.75
6,956,31,690,28,662,0.7217573221757322,0.0405797101449275,0.9032258064516129,3,,30,test,qth_0.75
7,1027,36,711,35,676,0.6923076923076923,0.0492264416315049,0.9722222222222222,3,,30,test,qth_0.75
8,973,36,796,33,763,0.8180883864337102,0.0414572864321608,0.9166666666666666,3,,30,test,qth_0.75
9,1008,38,631,36,595,0.6259920634920635,0.0570522979397781,0.9473684210526315,3,,30,test,qth_0.75
all,9984,284,6918,263,6655,0.6929086538461539,0.0380167678519803,0.926056338028169,3,,30,test,qth_0.75
1,1000,1000,968,0,968,0.968,1.0,0.0,0,,30,evaluation,qth_0.75
all,1000,1000,968,0,968,0.968,1.0,0.0,0,,30,evaluation,qth_0.75
1,1000,1000,968,0,968,0.968,1.0,0.0,1,,30,evaluation,qth_0.75
all,1000,1000,968,0,968,0.968,1.0,0.0,1,,30,evaluation,qth_0.75
1,1000,1000,968,0,968,0.968,1.0,0.0,2,,30,evaluation,qth_0.75
all,1000,1000,968,0,968,0.968,1.0,0.0,2,,30,evaluation,qth_0.75
1,1000,1000,968,0,968,0.968,1.0,0.0,3,,30,evaluation,qth_0.75
all,1000,1000,968,0,968,0.968,1.0,0.0,3,,30,evaluation,qth_0.75
