y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
6,956.0,22.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
7,1027.0,45.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
all,9984.0,303.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,mean
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
1,1133.0,11.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
2,1030.0,51.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
3,1008.0,39.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
6,956.0,22.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
7,1027.0,45.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
all,9984.0,303.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,8.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,8.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,8.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,8.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,8.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,8.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,8.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,8.0,evaluation,mean
