y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
17,1478,6,3,3,0,0.0020297699594046,1.0,0.5,1,top_third,16,train,qth_0.5
18,1563,42,16,16,0,0.0102367242482405,1.0,0.38095238095238093,1,top_third,16,train,qth_0.5
19,1504,79,24,24,0,0.0159574468085106,1.0,0.3037974683544304,1,top_third,16,train,qth_0.5
20,1496,85,35,35,0,0.0233957219251336,1.0,0.4117647058823529,1,top_third,16,train,qth_0.5
21,1455,55,26,26,0,0.0178694158075601,1.0,0.4727272727272727,1,top_third,16,train,qth_0.5
22,1527,30,11,11,0,0.0072036673215455,1.0,0.36666666666666664,1,top_third,16,train,qth_0.5
23,1467,46,18,18,0,0.0122699386503067,1.0,0.391304347826087,1,top_third,16,train,qth_0.5
24,1486,30,17,17,0,0.0114401076716016,1.0,0.5666666666666667,1,top_third,16,train,qth_0.5
25,1503,62,32,32,0,0.0212907518296739,1.0,0.5161290322580645,1,top_third,16,train,qth_0.5
26,1532,23,6,6,0,0.0039164490861618,1.0,0.2608695652173913,1,top_third,16,train,qth_0.5
27,1519,32,9,9,0,0.0059249506254114,1.0,0.28125,1,top_third,16,train,qth_0.5
28,1496,41,15,15,0,0.0100267379679144,1.0,0.36585365853658536,1,top_third,16,train,qth_0.5
29,1496,30,18,18,0,0.0120320855614973,1.0,0.6,1,top_third,16,train,qth_0.5
30,1508,11,6,6,0,0.0039787798408488,1.0,0.5454545454545454,1,top_third,16,train,qth_0.5
31,1472,85,37,37,0,0.0251358695652173,1.0,0.43529411764705883,1,top_third,16,train,qth_0.5
32,1473,15,5,5,0,0.0033944331296673,1.0,0.3333333333333333,1,top_third,16,train,qth_0.5
33,1464,148,39,39,0,0.026639344262295,1.0,0.2635135135135135,1,top_third,16,train,qth_0.5
34,1519,117,25,25,0,0.0164581961816984,1.0,0.21367521367521367,1,top_third,16,train,qth_0.5
35,1492,31,14,14,0,0.0093833780160857,1.0,0.45161290322580644,1,top_third,16,train,qth_0.5
36,1484,103,44,44,0,0.0296495956873315,1.0,0.42718446601941745,1,top_third,16,train,qth_0.5
37,1475,109,32,32,0,0.0216949152542372,1.0,0.29357798165137616,1,top_third,16,train,qth_0.5
38,1401,135,40,40,0,0.0285510349750178,1.0,0.2962962962962963,1,top_third,16,train,qth_0.5
39,1541,104,31,31,0,0.0201168072680077,1.0,0.2980769230769231,1,top_third,16,train,qth_0.5
40,1489,17,5,5,0,0.0033579583613163,1.0,0.29411764705882354,1,top_third,16,train,qth_0.5
41,1461,36,11,11,0,0.0075290896646132,1.0,0.3055555555555556,1,top_third,16,train,qth_0.5
42,1432,25,7,7,0,0.0048882681564245,1.0,0.28,1,top_third,16,train,qth_0.5
all,63968,2345,848,848,0,0.013256628314157,1.0,0.36162046908315565,1,top_third,16,train,qth_0.5
0,1538,22,5,5,0,0.0032509752925877,1.0,0.22727272727272727,2,top_third,16,train,qth_0.5
1,1483,101,35,35,0,0.0236008091706001,1.0,0.3465346534653465,2,top_third,16,train,qth_0.5
2,1473,88,29,29,0,0.0196877121520706,1.0,0.32954545454545453,2,top_third,16,train,qth_0.5
3,1478,87,24,24,0,0.0162381596752368,1.0,0.27586206896551724,2,top_third,16,train,qth_0.5
4,1528,75,28,28,0,0.0183246073298429,1.0,0.37333333333333335,2,top_third,16,train,qth_0.5
5,1401,144,64,64,0,0.0456816559600285,1.0,0.4444444444444444,2,top_third,16,train,qth_0.5
6,1521,23,5,5,0,0.0032873109796186,1.0,0.21739130434782608,2,top_third,16,train,qth_0.5
7,1508,42,21,21,0,0.0139257294429708,1.0,0.5,2,top_third,16,train,qth_0.5
8,1497,85,34,34,0,0.0227120908483633,1.0,0.4,2,top_third,16,train,qth_0.5
9,1521,36,12,12,0,0.0078895463510848,1.0,0.3333333333333333,2,top_third,16,train,qth_0.5
10,1447,34,15,15,0,0.0103662750518313,1.0,0.4411764705882353,2,top_third,16,train,qth_0.5
11,1485,42,14,14,0,0.0094276094276094,1.0,0.3333333333333333,2,top_third,16,train,qth_0.5
12,1478,13,9,9,0,0.0060893098782138,1.0,0.6923076923076923,2,top_third,16,train,qth_0.5
13,1477,12,8,8,0,0.0054163845633039,1.0,0.6666666666666666,2,top_third,16,train,qth_0.5
14,1485,1,0,0,0,0.0,0.0,0.0,2,top_third,16,train,qth_0.5
15,1460,22,10,10,0,0.0068493150684931,1.0,0.45454545454545453,2,top_third,16,train,qth_0.5
16,1455,21,9,9,0,0.0061855670103092,1.0,0.42857142857142855,2,top_third,16,train,qth_0.5
17,1478,6,3,3,0,0.0020297699594046,1.0,0.5,2,top_third,16,train,qth_0.5
18,1563,42,16,16,0,0.0102367242482405,1.0,0.38095238095238093,2,top_third,16,train,qth_0.5
19,1504,79,24,24,0,0.0159574468085106,1.0,0.3037974683544304,2,top_third,16,train,qth_0.5
20,1496,85,35,35,0,0.0233957219251336,1.0,0.4117647058823529,2,top_third,16,train,qth_0.5
21,1455,55,26,26,0,0.0178694158075601,1.0,0.4727272727272727,2,top_third,16,train,qth_0.5
22,1527,30,11,11,0,0.0072036673215455,1.0,0.36666666666666664,2,top_third,16,train,qth_0.5
23,1467,46,18,18,0,0.0122699386503067,1.0,0.391304347826087,2,top_third,16,train,qth_0.5
24,1486,30,17,17,0,0.0114401076716016,1.0,0.5666666666666667,2,top_third,16,train,qth_0.5
25,1503,62,32,32,0,0.0212907518296739,1.0,0.5161290322580645,2,top_third,16,train,qth_0.5
26,1532,23,6,6,0,0.0039164490861618,1.0,0.2608695652173913,2,top_third,16,train,qth_0.5
27,1519,32,9,9,0,0.0059249506254114,1.0,0.28125,2,top_third,16,train,qth_0.5
28,1496,41,15,15,0,0.0100267379679144,1.0,0.36585365853658536,2,top_third,16,train,qth_0.5
29,1496,30,18,18,0,0.0120320855614973,1.0,0.6,2,top_third,16,train,qth_0.5
30,1508,11,6,6,0,0.0039787798408488,1.0,0.5454545454545454,2,top_third,16,train,qth_0.5
31,1472,85,37,37,0,0.0251358695652173,1.0,0.43529411764705883,2,top_third,16,train,qth_0.5
32,1473,15,5,5,0,0.0033944331296673,1.0,0.3333333333333333,2,top_third,16,train,qth_0.5
33,1464,148,39,39,0,0.026639344262295,1.0,0.2635135135135135,2,top_third,16,train,qth_0.5
34,1519,117,25,25,0,0.0164581961816984,1.0,0.21367521367521367,2,top_third,16,train,qth_0.5
35,1492,31,14,14,0,0.0093833780160857,1.0,0.45161290322580644,2,top_third,16,train,qth_0.5
36,1484,103,44,44,0,0.0296495956873315,1.0,0.42718446601941745,2,top_third,16,train,qth_0.5
37,1475,109,32,32,0,0.0216949152542372,1.0,0.29357798165137616,2,top_third,16,train,qth_0.5
38,1401,135,40,40,0,0.0285510349750178,1.0,0.2962962962962963,2,top_third,16,train,qth_0.5
39,1541,104,31,31,0,0.0201168072680077,1.0,0.2980769230769231,2,top_third,16,train,qth_0.5
40,1489,17,5,5,0,0.0033579583613163,1.0,0.29411764705882354,2,top_third,16,train,qth_0.5
41,1461,36,11,11,0,0.0075290896646132,1.0,0.3055555555555556,2,top_third,16,train,qth_0.5
42,1432,25,7,7,0,0.0048882681564245,1.0,0.28,2,top_third,16,train,qth_0.5
all,63968,2345,848,848,0,0.013256628314157,1.0,0.36162046908315565,2,top_third,16,train,qth_0.5
0,1538,22,5,5,0,0.0032509752925877,1.0,0.22727272727272727,3,top_third,16,train,qth_0.5
1,1483,101,35,35,0,0.0236008091706001,1.0,0.3465346534653465,3,top_third,16,train,qth_0.5
2,1473,88,29,29,0,0.0196877121520706,1.0,0.32954545454545453,3,top_third,16,train,qth_0.5
3,1478,87,24,24,0,0.0162381596752368,1.0,0.27586206896551724,3,top_third,16,train,qth_0.5
4,1528,75,28,28,0,0.0183246073298429,1.0,0.37333333333333335,3,top_third,16,train,qth_0.5
5,1401,144,64,64,0,0.0456816559600285,1.0,0.4444444444444444,3,top_third,16,train,qth_0.5
6,1521,23,5,5,0,0.0032873109796186,1.0,0.21739130434782608,3,top_third,16,train,qth_0.5
7,1508,42,21,21,0,0.0139257294429708,1.0,0.5,3,top_third,16,train,qth_0.5
8,1497,85,34,34,0,0.0227120908483633,1.0,0.4,3,top_third,16,train,qth_0.5
9,1521,36,12,12,0,0.0078895463510848,1.0,0.3333333333333333,3,top_third,16,train,qth_0.5
10,1447,34,15,15,0,0.0103662750518313,1.0,0.4411764705882353,3,top_third,16,train,qth_0.5
11,1485,42,14,14,0,0.0094276094276094,1.0,0.3333333333333333,3,top_third,16,train,qth_0.5
12,1478,13,9,9,0,0.0060893098782138,1.0,0.6923076923076923,3,top_third,16,train,qth_0.5
13,1477,12,8,8,0,0.0054163845633039,1.0,0.6666666666666666,3,top_third,16,train,qth_0.5
14,1485,1,0,0,0,0.0,0.0,0.0,3,top_third,16,train,qth_0.5
15,1460,22,10,10,0,0.0068493150684931,1.0,0.45454545454545453,3,top_third,16,train,qth_0.5
16,1455,21,9,9,0,0.0061855670103092,1.0,0.42857142857142855,3,top_third,16,train,qth_0.5
17,1478,6,3,3,0,0.0020297699594046,1.0,0.5,3,top_third,16,train,qth_0.5
18,1563,42,16,16,0,0.0102367242482405,1.0,0.38095238095238093,3,top_third,16,train,qth_0.5
19,1504,79,24,24,0,0.0159574468085106,1.0,0.3037974683544304,3,top_third,16,train,qth_0.5
20,1496,85,35,35,0,0.0233957219251336,1.0,0.4117647058823529,3,top_third,16,train,qth_0.5
21,1455,55,26,26,0,0.0178694158075601,1.0,0.4727272727272727,3,top_third,16,train,qth_0.5
22,1527,30,11,11,0,0.0072036673215455,1.0,0.36666666666666664,3,top_third,16,train,qth_0.5
23,1467,46,18,18,0,0.0122699386503067,1.0,0.391304347826087,3,top_third,16,train,qth_0.5
24,1486,30,17,17,0,0.0114401076716016,1.0,0.5666666666666667,3,top_third,16,train,qth_0.5
25,1503,62,32,32,0,0.0212907518296739,1.0,0.5161290322580645,3,top_third,16,train,qth_0.5
26,1532,23,6,6,0,0.0039164490861618,1.0,0.2608695652173913,3,top_third,16,train,qth_0.5
27,1519,32,9,9,0,0.0059249506254114,1.0,0.28125,3,top_third,16,train,qth_0.5
28,1496,41,15,15,0,0.0100267379679144,1.0,0.36585365853658536,3,top_third,16,train,qth_0.5
29,1496,30,18,18,0,0.0120320855614973,1.0,0.6,3,top_third,16,train,qth_0.5
30,1508,11,6,6,0,0.0039787798408488,1.0,0.5454545454545454,3,top_third,16,train,qth_0.5
31,1472,85,37,37,0,0.0251358695652173,1.0,0.43529411764705883,3,top_third,16,train,qth_0.5
32,1473,15,5,5,0,0.0033944331296673,1.0,0.3333333333333333,3,top_third,16,train,qth_0.5
33,1464,148,39,39,0,0.026639344262295,1.0,0.2635135135135135,3,top_third,16,train,qth_0.5
34,1519,117,25,25,0,0.0164581961816984,1.0,0.21367521367521367,3,top_third,16,train,qth_0.5
35,1492,31,14,14,0,0.0093833780160857,1.0,0.45161290322580644,3,top_third,16,train,qth_0.5
36,1484,103,44,44,0,0.0296495956873315,1.0,0.42718446601941745,3,top_third,16,train,qth_0.5
37,1475,109,32,32,0,0.0216949152542372,1.0,0.29357798165137616,3,top_third,16,train,qth_0.5
38,1401,135,40,40,0,0.0285510349750178,1.0,0.2962962962962963,3,top_third,16,train,qth_0.5
39,1541,104,31,31,0,0.0201168072680077,1.0,0.2980769230769231,3,top_third,16,train,qth_0.5
40,1489,17,5,5,0,0.0033579583613163,1.0,0.29411764705882354,3,top_third,16,train,qth_0.5
