y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
3,1478.0,87.0,62.0,62.0,0.0419485791610284,1.0,0.7126436781609196,1,gte_mean,25.0,train,relu
4,1528.0,75.0,59.0,59.0,0.0386125654450261,1.0,0.7866666666666666,1,gte_mean,25.0,train,relu
5,1401.0,144.0,120.0,120.0,0.0856531049250535,1.0,0.8333333333333334,1,gte_mean,25.0,train,relu
6,1521.0,23.0,17.0,17.0,0.0111768573307034,1.0,0.7391304347826086,1,gte_mean,25.0,train,relu
7,1508.0,42.0,34.0,34.0,0.0225464190981432,1.0,0.8095238095238095,1,gte_mean,25.0,train,relu
8,1497.0,85.0,64.0,64.0,0.042752171008684,1.0,0.7529411764705882,1,gte_mean,25.0,train,relu
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,1,gte_mean,25.0,train,relu
10,1447.0,34.0,33.0,33.0,0.022805805114029,1.0,0.9705882352941176,1,gte_mean,25.0,train,relu
11,1485.0,42.0,39.0,39.0,0.0262626262626262,1.0,0.9285714285714286,1,gte_mean,25.0,train,relu
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,1,gte_mean,25.0,train,relu
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,1,gte_mean,25.0,train,relu
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,1,gte_mean,25.0,train,relu
15,1460.0,22.0,19.0,19.0,0.0130136986301369,1.0,0.8636363636363636,1,gte_mean,25.0,train,relu
16,1455.0,21.0,19.0,19.0,0.0130584192439862,1.0,0.9047619047619048,1,gte_mean,25.0,train,relu
17,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,1,gte_mean,25.0,train,relu
18,1563.0,42.0,32.0,32.0,0.0204734484964811,1.0,0.7619047619047619,1,gte_mean,25.0,train,relu
19,1504.0,79.0,74.0,74.0,0.0492021276595744,1.0,0.9367088607594936,1,gte_mean,25.0,train,relu
20,1496.0,85.0,76.0,76.0,0.0508021390374331,1.0,0.8941176470588236,1,gte_mean,25.0,train,relu
21,1455.0,55.0,51.0,51.0,0.0350515463917525,1.0,0.9272727272727272,1,gte_mean,25.0,train,relu
22,1527.0,30.0,29.0,29.0,0.0189914865749836,1.0,0.9666666666666668,1,gte_mean,25.0,train,relu
23,1467.0,46.0,39.0,39.0,0.0265848670756646,1.0,0.8478260869565217,1,gte_mean,25.0,train,relu
24,1486.0,30.0,29.0,29.0,0.0195154777927321,1.0,0.9666666666666668,1,gte_mean,25.0,train,relu
25,1503.0,62.0,57.0,57.0,0.0379241516966067,1.0,0.9193548387096774,1,gte_mean,25.0,train,relu
26,1532.0,23.0,20.0,20.0,0.0130548302872062,1.0,0.8695652173913043,1,gte_mean,25.0,train,relu
27,1519.0,32.0,30.0,30.0,0.0197498354180381,1.0,0.9375,1,gte_mean,25.0,train,relu
28,1496.0,41.0,37.0,37.0,0.0247326203208556,1.0,0.902439024390244,1,gte_mean,25.0,train,relu
29,1496.0,30.0,26.0,26.0,0.017379679144385,1.0,0.8666666666666667,1,gte_mean,25.0,train,relu
30,1508.0,11.0,11.0,11.0,0.0072944297082228,1.0,1.0,1,gte_mean,25.0,train,relu
31,1472.0,85.0,76.0,76.0,0.0516304347826086,1.0,0.8941176470588236,1,gte_mean,25.0,train,relu
32,1473.0,15.0,13.0,13.0,0.008825526137135,1.0,0.8666666666666667,1,gte_mean,25.0,train,relu
33,1464.0,148.0,122.0,122.0,0.0833333333333333,1.0,0.8243243243243243,1,gte_mean,25.0,train,relu
34,1519.0,117.0,95.0,95.0,0.0625411454904542,1.0,0.811965811965812,1,gte_mean,25.0,train,relu
35,1492.0,31.0,28.0,28.0,0.0187667560321715,1.0,0.9032258064516128,1,gte_mean,25.0,train,relu
36,1484.0,103.0,84.0,84.0,0.0566037735849056,1.0,0.8155339805825242,1,gte_mean,25.0,train,relu
37,1475.0,109.0,91.0,91.0,0.0616949152542372,1.0,0.8348623853211009,1,gte_mean,25.0,train,relu
38,1401.0,135.0,107.0,107.0,0.0763740185581727,1.0,0.7925925925925926,1,gte_mean,25.0,train,relu
39,1541.0,104.0,84.0,84.0,0.054510058403634,1.0,0.8076923076923077,1,gte_mean,25.0,train,relu
40,1489.0,17.0,17.0,17.0,0.0114170584284754,1.0,1.0,1,gte_mean,25.0,train,relu
41,1461.0,36.0,24.0,24.0,0.0164271047227926,1.0,0.6666666666666666,1,gte_mean,25.0,train,relu
42,1432.0,25.0,22.0,22.0,0.0153631284916201,1.0,0.88,1,gte_mean,25.0,train,relu
all,63968.0,2345.0,1971.0,1971.0,0.0308122811405702,1.0,0.8405117270788912,1,gte_mean,25.0,train,relu
0,1538.0,22.0,17.0,17.0,0.0110533159947984,1.0,0.7727272727272727,2,gte_mean,25.0,train,relu
1,1483.0,101.0,83.0,83.0,0.0559676331759946,1.0,0.8217821782178217,2,gte_mean,25.0,train,relu
2,1473.0,88.0,70.0,70.0,0.0475220638153428,1.0,0.7954545454545454,2,gte_mean,25.0,train,relu
3,1478.0,87.0,62.0,62.0,0.0419485791610284,1.0,0.7126436781609196,2,gte_mean,25.0,train,relu
4,1528.0,75.0,59.0,59.0,0.0386125654450261,1.0,0.7866666666666666,2,gte_mean,25.0,train,relu
5,1401.0,144.0,120.0,120.0,0.0856531049250535,1.0,0.8333333333333334,2,gte_mean,25.0,train,relu
6,1521.0,23.0,17.0,17.0,0.0111768573307034,1.0,0.7391304347826086,2,gte_mean,25.0,train,relu
7,1508.0,42.0,34.0,34.0,0.0225464190981432,1.0,0.8095238095238095,2,gte_mean,25.0,train,relu
8,1497.0,85.0,64.0,64.0,0.042752171008684,1.0,0.7529411764705882,2,gte_mean,25.0,train,relu
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,2,gte_mean,25.0,train,relu
10,1447.0,34.0,33.0,33.0,0.022805805114029,1.0,0.9705882352941176,2,gte_mean,25.0,train,relu
11,1485.0,42.0,39.0,39.0,0.0262626262626262,1.0,0.9285714285714286,2,gte_mean,25.0,train,relu
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,2,gte_mean,25.0,train,relu
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,2,gte_mean,25.0,train,relu
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,2,gte_mean,25.0,train,relu
15,1460.0,22.0,19.0,19.0,0.0130136986301369,1.0,0.8636363636363636,2,gte_mean,25.0,train,relu
16,1455.0,21.0,19.0,19.0,0.0130584192439862,1.0,0.9047619047619048,2,gte_mean,25.0,train,relu
17,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,2,gte_mean,25.0,train,relu
18,1563.0,42.0,32.0,32.0,0.0204734484964811,1.0,0.7619047619047619,2,gte_mean,25.0,train,relu
19,1504.0,79.0,74.0,74.0,0.0492021276595744,1.0,0.9367088607594936,2,gte_mean,25.0,train,relu
20,1496.0,85.0,76.0,76.0,0.0508021390374331,1.0,0.8941176470588236,2,gte_mean,25.0,train,relu
21,1455.0,55.0,51.0,51.0,0.0350515463917525,1.0,0.9272727272727272,2,gte_mean,25.0,train,relu
22,1527.0,30.0,29.0,29.0,0.0189914865749836,1.0,0.9666666666666668,2,gte_mean,25.0,train,relu
23,1467.0,46.0,39.0,39.0,0.0265848670756646,1.0,0.8478260869565217,2,gte_mean,25.0,train,relu
24,1486.0,30.0,29.0,29.0,0.0195154777927321,1.0,0.9666666666666668,2,gte_mean,25.0,train,relu
25,1503.0,62.0,57.0,57.0,0.0379241516966067,1.0,0.9193548387096774,2,gte_mean,25.0,train,relu
26,1532.0,23.0,20.0,20.0,0.0130548302872062,1.0,0.8695652173913043,2,gte_mean,25.0,train,relu
27,1519.0,32.0,30.0,30.0,0.0197498354180381,1.0,0.9375,2,gte_mean,25.0,train,relu
28,1496.0,41.0,37.0,37.0,0.0247326203208556,1.0,0.902439024390244,2,gte_mean,25.0,train,relu
29,1496.0,30.0,26.0,26.0,0.017379679144385,1.0,0.8666666666666667,2,gte_mean,25.0,train,relu
30,1508.0,11.0,11.0,11.0,0.0072944297082228,1.0,1.0,2,gte_mean,25.0,train,relu
31,1472.0,85.0,76.0,76.0,0.0516304347826086,1.0,0.8941176470588236,2,gte_mean,25.0,train,relu
32,1473.0,15.0,13.0,13.0,0.008825526137135,1.0,0.8666666666666667,2,gte_mean,25.0,train,relu
33,1464.0,148.0,122.0,122.0,0.0833333333333333,1.0,0.8243243243243243,2,gte_mean,25.0,train,relu
34,1519.0,117.0,95.0,95.0,0.0625411454904542,1.0,0.811965811965812,2,gte_mean,25.0,train,relu
35,1492.0,31.0,28.0,28.0,0.0187667560321715,1.0,0.9032258064516128,2,gte_mean,25.0,train,relu
36,1484.0,103.0,84.0,84.0,0.0566037735849056,1.0,0.8155339805825242,2,gte_mean,25.0,train,relu
37,1475.0,109.0,91.0,91.0,0.0616949152542372,1.0,0.8348623853211009,2,gte_mean,25.0,train,relu
38,1401.0,135.0,107.0,107.0,0.0763740185581727,1.0,0.7925925925925926,2,gte_mean,25.0,train,relu
39,1541.0,104.0,84.0,84.0,0.054510058403634,1.0,0.8076923076923077,2,gte_mean,25.0,train,relu
40,1489.0,17.0,17.0,17.0,0.0114170584284754,1.0,1.0,2,gte_mean,25.0,train,relu
41,1461.0,36.0,24.0,24.0,0.0164271047227926,1.0,0.6666666666666666,2,gte_mean,25.0,train,relu
42,1432.0,25.0,22.0,22.0,0.0153631284916201,1.0,0.88,2,gte_mean,25.0,train,relu
all,63968.0,2345.0,1971.0,1971.0,0.0308122811405702,1.0,0.8405117270788912,2,gte_mean,25.0,train,relu
0,1538.0,22.0,17.0,17.0,0.0110533159947984,1.0,0.7727272727272727,3,gte_mean,25.0,train,relu
1,1483.0,101.0,83.0,83.0,0.0559676331759946,1.0,0.8217821782178217,3,gte_mean,25.0,train,relu
2,1473.0,88.0,70.0,70.0,0.0475220638153428,1.0,0.7954545454545454,3,gte_mean,25.0,train,relu
3,1478.0,87.0,62.0,62.0,0.0419485791610284,1.0,0.7126436781609196,3,gte_mean,25.0,train,relu
4,1528.0,75.0,59.0,59.0,0.0386125654450261,1.0,0.7866666666666666,3,gte_mean,25.0,train,relu
5,1401.0,144.0,120.0,120.0,0.0856531049250535,1.0,0.8333333333333334,3,gte_mean,25.0,train,relu
6,1521.0,23.0,17.0,17.0,0.0111768573307034,1.0,0.7391304347826086,3,gte_mean,25.0,train,relu
7,1508.0,42.0,34.0,34.0,0.0225464190981432,1.0,0.8095238095238095,3,gte_mean,25.0,train,relu
8,1497.0,85.0,64.0,64.0,0.042752171008684,1.0,0.7529411764705882,3,gte_mean,25.0,train,relu
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,3,gte_mean,25.0,train,relu
10,1447.0,34.0,33.0,33.0,0.022805805114029,1.0,0.9705882352941176,3,gte_mean,25.0,train,relu
11,1485.0,42.0,39.0,39.0,0.0262626262626262,1.0,0.9285714285714286,3,gte_mean,25.0,train,relu
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,3,gte_mean,25.0,train,relu
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,3,gte_mean,25.0,train,relu
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,3,gte_mean,25.0,train,relu
15,1460.0,22.0,19.0,19.0,0.0130136986301369,1.0,0.8636363636363636,3,gte_mean,25.0,train,relu
16,1455.0,21.0,19.0,19.0,0.0130584192439862,1.0,0.9047619047619048,3,gte_mean,25.0,train,relu
17,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,3,gte_mean,25.0,train,relu
18,1563.0,42.0,32.0,32.0,0.0204734484964811,1.0,0.7619047619047619,3,gte_mean,25.0,train,relu
19,1504.0,79.0,74.0,74.0,0.0492021276595744,1.0,0.9367088607594936,3,gte_mean,25.0,train,relu
20,1496.0,85.0,76.0,76.0,0.0508021390374331,1.0,0.8941176470588236,3,gte_mean,25.0,train,relu
21,1455.0,55.0,51.0,51.0,0.0350515463917525,1.0,0.9272727272727272,3,gte_mean,25.0,train,relu
22,1527.0,30.0,29.0,29.0,0.0189914865749836,1.0,0.9666666666666668,3,gte_mean,25.0,train,relu
23,1467.0,46.0,39.0,39.0,0.0265848670756646,1.0,0.8478260869565217,3,gte_mean,25.0,train,relu
