y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
12,1478.0,13.0,13.0,13.0,0.0087956698240866,1.0,1.0,1,,50.0,train,relu
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,1,,50.0,train,relu
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,1,,50.0,train,relu
15,1460.0,22.0,22.0,22.0,0.0150684931506849,1.0,1.0,1,,50.0,train,relu
16,1455.0,21.0,21.0,21.0,0.0144329896907216,1.0,1.0,1,,50.0,train,relu
17,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,1,,50.0,train,relu
18,1563.0,42.0,41.0,41.0,0.0262316058861164,1.0,0.9761904761904762,1,,50.0,train,relu
19,1504.0,79.0,79.0,79.0,0.0525265957446808,1.0,1.0,1,,50.0,train,relu
20,1496.0,85.0,85.0,85.0,0.0568181818181818,1.0,1.0,1,,50.0,train,relu
21,1455.0,55.0,55.0,55.0,0.0378006872852233,1.0,1.0,1,,50.0,train,relu
22,1527.0,30.0,30.0,30.0,0.0196463654223968,1.0,1.0,1,,50.0,train,relu
23,1467.0,46.0,46.0,46.0,0.0313565098841172,1.0,1.0,1,,50.0,train,relu
24,1486.0,30.0,30.0,30.0,0.0201884253028263,1.0,1.0,1,,50.0,train,relu
25,1503.0,62.0,62.0,62.0,0.0412508316699933,1.0,1.0,1,,50.0,train,relu
26,1532.0,23.0,23.0,23.0,0.0150130548302872,1.0,1.0,1,,50.0,train,relu
27,1519.0,32.0,32.0,32.0,0.021066491112574,1.0,1.0,1,,50.0,train,relu
28,1496.0,41.0,41.0,41.0,0.0274064171122994,1.0,1.0,1,,50.0,train,relu
29,1496.0,30.0,30.0,30.0,0.0200534759358288,1.0,1.0,1,,50.0,train,relu
30,1508.0,11.0,11.0,11.0,0.0072944297082228,1.0,1.0,1,,50.0,train,relu
31,1472.0,85.0,85.0,85.0,0.0577445652173913,1.0,1.0,1,,50.0,train,relu
32,1473.0,15.0,15.0,15.0,0.010183299389002,1.0,1.0,1,,50.0,train,relu
33,1464.0,148.0,148.0,148.0,0.1010928961748633,1.0,1.0,1,,50.0,train,relu
34,1519.0,117.0,117.0,117.0,0.0770243581303489,1.0,1.0,1,,50.0,train,relu
35,1492.0,31.0,31.0,31.0,0.0207774798927613,1.0,1.0,1,,50.0,train,relu
36,1484.0,103.0,103.0,103.0,0.0694070080862533,1.0,1.0,1,,50.0,train,relu
37,1475.0,109.0,109.0,109.0,0.0738983050847457,1.0,1.0,1,,50.0,train,relu
38,1401.0,135.0,134.0,134.0,0.0956459671663097,1.0,0.9925925925925926,1,,50.0,train,relu
39,1541.0,104.0,104.0,104.0,0.0674886437378325,1.0,1.0,1,,50.0,train,relu
40,1489.0,17.0,17.0,17.0,0.0114170584284754,1.0,1.0,1,,50.0,train,relu
41,1461.0,36.0,36.0,36.0,0.0246406570841889,1.0,1.0,1,,50.0,train,relu
42,1432.0,25.0,25.0,25.0,0.0174581005586592,1.0,1.0,1,,50.0,train,relu
all,63968.0,2345.0,2343.0,2343.0,0.0366276888444222,1.0,0.9991471215351811,1,,50.0,train,relu
0,1538.0,22.0,22.0,22.0,0.0143042912873862,1.0,1.0,2,,50.0,train,relu
1,1483.0,101.0,101.0,101.0,0.0681051921780175,1.0,1.0,2,,50.0,train,relu
2,1473.0,88.0,88.0,88.0,0.0597420230821452,1.0,1.0,2,,50.0,train,relu
3,1478.0,87.0,87.0,87.0,0.0588633288227334,1.0,1.0,2,,50.0,train,relu
4,1528.0,75.0,75.0,75.0,0.0490837696335078,1.0,1.0,2,,50.0,train,relu
5,1401.0,144.0,144.0,144.0,0.1027837259100642,1.0,1.0,2,,50.0,train,relu
