y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,8.0,8.0,0.0052015604681404,1.0,0.3636363636363636,0,components,17.0,train,mean
1,1483.0,83.0,50.0,50.0,0.0337154416722859,1.0,0.6024096385542169,0,components,17.0,train,mean
2,1473.0,85.0,51.0,51.0,0.0346232179226069,1.0,0.6,0,components,17.0,train,mean
3,1478.0,68.0,41.0,41.0,0.0277401894451962,1.0,0.6029411764705882,0,components,17.0,train,mean
4,1528.0,75.0,38.0,38.0,0.0248691099476439,1.0,0.5066666666666667,0,components,17.0,train,mean
5,1401.0,150.0,88.0,88.0,0.0628122769450392,1.0,0.5866666666666667,0,components,17.0,train,mean
6,1521.0,13.0,9.0,9.0,0.0059171597633136,1.0,0.6923076923076923,0,components,17.0,train,mean
7,1508.0,58.0,36.0,36.0,0.0238726790450928,1.0,0.6206896551724138,0,components,17.0,train,mean
8,1497.0,30.0,15.0,15.0,0.0100200400801603,1.0,0.5,0,components,17.0,train,mean
9,1521.0,29.0,17.0,17.0,0.0111768573307034,1.0,0.5862068965517241,0,components,17.0,train,mean
10,1447.0,29.0,21.0,21.0,0.0145127850725639,1.0,0.7241379310344828,0,components,17.0,train,mean
11,1485.0,27.0,15.0,15.0,0.0101010101010101,1.0,0.5555555555555556,0,components,17.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,0,components,17.0,train,mean
13,1477.0,8.0,7.0,7.0,0.0047393364928909,1.0,0.875,0,components,17.0,train,mean
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,train,mean
15,1460.0,10.0,7.0,7.0,0.0047945205479452,1.0,0.7,0,components,17.0,train,mean
16,1455.0,9.0,5.0,5.0,0.0034364261168384,1.0,0.5555555555555556,0,components,17.0,train,mean
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,0,components,17.0,train,mean
18,1563.0,28.0,16.0,16.0,0.0102367242482405,1.0,0.5714285714285714,0,components,17.0,train,mean
19,1504.0,78.0,24.0,24.0,0.0159574468085106,1.0,0.3076923076923077,0,components,17.0,train,mean
20,1496.0,77.0,38.0,38.0,0.0254010695187165,1.0,0.4935064935064935,0,components,17.0,train,mean
21,1455.0,43.0,26.0,26.0,0.0178694158075601,1.0,0.6046511627906976,0,components,17.0,train,mean
22,1527.0,19.0,12.0,12.0,0.0078585461689587,1.0,0.631578947368421,0,components,17.0,train,mean
23,1467.0,27.0,17.0,17.0,0.0115882753919563,1.0,0.6296296296296297,0,components,17.0,train,mean
24,1486.0,23.0,14.0,14.0,0.0094212651413189,1.0,0.6086956521739131,0,components,17.0,train,mean
25,1503.0,56.0,39.0,39.0,0.0259481037924151,1.0,0.6964285714285714,0,components,17.0,train,mean
26,1532.0,16.0,12.0,12.0,0.0078328981723237,1.0,0.75,0,components,17.0,train,mean
27,1519.0,28.0,20.0,20.0,0.0131665569453587,1.0,0.7142857142857143,0,components,17.0,train,mean
28,1496.0,30.0,19.0,19.0,0.0127005347593582,1.0,0.6333333333333333,0,components,17.0,train,mean
29,1496.0,17.0,10.0,10.0,0.0066844919786096,1.0,0.5882352941176471,0,components,17.0,train,mean
30,1508.0,12.0,6.0,6.0,0.0039787798408488,1.0,0.5,0,components,17.0,train,mean
31,1472.0,62.0,43.0,43.0,0.0292119565217391,1.0,0.6935483870967742,0,components,17.0,train,mean
32,1473.0,15.0,10.0,10.0,0.0067888662593346,1.0,0.6666666666666666,0,components,17.0,train,mean
33,1464.0,145.0,72.0,72.0,0.0491803278688524,1.0,0.496551724137931,0,components,17.0,train,mean
34,1519.0,97.0,38.0,38.0,0.0250164581961816,1.0,0.3917525773195876,0,components,17.0,train,mean
35,1492.0,11.0,8.0,8.0,0.0053619302949061,1.0,0.7272727272727273,0,components,17.0,train,mean
36,1484.0,119.0,61.0,61.0,0.0411051212938005,1.0,0.5126050420168067,0,components,17.0,train,mean
37,1475.0,100.0,37.0,37.0,0.0250847457627118,1.0,0.37,0,components,17.0,train,mean
38,1401.0,93.0,45.0,45.0,0.032119914346895,1.0,0.4838709677419355,0,components,17.0,train,mean
39,1541.0,111.0,38.0,38.0,0.0246593121349772,1.0,0.3423423423423423,0,components,17.0,train,mean
40,1489.0,21.0,11.0,11.0,0.0073875083948959,1.0,0.5238095238095238,0,components,17.0,train,mean
41,1461.0,23.0,12.0,12.0,0.0082135523613963,1.0,0.5217391304347826,0,components,17.0,train,mean
42,1432.0,22.0,8.0,8.0,0.0055865921787709,1.0,0.3636363636363636,0,components,17.0,train,mean
all,63968.0,1983.0,1054.0,1054.0,0.0164769884942471,1.0,0.5315179021684316,0,components,17.0,train,mean
0,1538.0,22.0,8.0,8.0,0.0052015604681404,1.0,0.3636363636363636,1,components,17.0,train,mean
1,1483.0,83.0,50.0,50.0,0.0337154416722859,1.0,0.6024096385542169,1,components,17.0,train,mean
2,1473.0,85.0,51.0,51.0,0.0346232179226069,1.0,0.6,1,components,17.0,train,mean
3,1478.0,68.0,41.0,41.0,0.0277401894451962,1.0,0.6029411764705882,1,components,17.0,train,mean
4,1528.0,75.0,38.0,38.0,0.0248691099476439,1.0,0.5066666666666667,1,components,17.0,train,mean
5,1401.0,150.0,88.0,88.0,0.0628122769450392,1.0,0.5866666666666667,1,components,17.0,train,mean
6,1521.0,13.0,9.0,9.0,0.0059171597633136,1.0,0.6923076923076923,1,components,17.0,train,mean
7,1508.0,58.0,36.0,36.0,0.0238726790450928,1.0,0.6206896551724138,1,components,17.0,train,mean
8,1497.0,30.0,15.0,15.0,0.0100200400801603,1.0,0.5,1,components,17.0,train,mean
9,1521.0,29.0,17.0,17.0,0.0111768573307034,1.0,0.5862068965517241,1,components,17.0,train,mean
10,1447.0,29.0,21.0,21.0,0.0145127850725639,1.0,0.7241379310344828,1,components,17.0,train,mean
11,1485.0,27.0,15.0,15.0,0.0101010101010101,1.0,0.5555555555555556,1,components,17.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,1,components,17.0,train,mean
13,1477.0,8.0,7.0,7.0,0.0047393364928909,1.0,0.875,1,components,17.0,train,mean
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,17.0,train,mean
15,1460.0,10.0,7.0,7.0,0.0047945205479452,1.0,0.7,1,components,17.0,train,mean
16,1455.0,9.0,5.0,5.0,0.0034364261168384,1.0,0.5555555555555556,1,components,17.0,train,mean
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,mean
18,1563.0,28.0,16.0,16.0,0.0102367242482405,1.0,0.5714285714285714,1,components,17.0,train,mean
19,1504.0,78.0,24.0,24.0,0.0159574468085106,1.0,0.3076923076923077,1,components,17.0,train,mean
20,1496.0,77.0,38.0,38.0,0.0254010695187165,1.0,0.4935064935064935,1,components,17.0,train,mean
21,1455.0,43.0,26.0,26.0,0.0178694158075601,1.0,0.6046511627906976,1,components,17.0,train,mean
22,1527.0,19.0,12.0,12.0,0.0078585461689587,1.0,0.631578947368421,1,components,17.0,train,mean
23,1467.0,27.0,17.0,17.0,0.0115882753919563,1.0,0.6296296296296297,1,components,17.0,train,mean
24,1486.0,23.0,14.0,14.0,0.0094212651413189,1.0,0.6086956521739131,1,components,17.0,train,mean
25,1503.0,56.0,39.0,39.0,0.0259481037924151,1.0,0.6964285714285714,1,components,17.0,train,mean
26,1532.0,16.0,12.0,12.0,0.0078328981723237,1.0,0.75,1,components,17.0,train,mean
27,1519.0,28.0,20.0,20.0,0.0131665569453587,1.0,0.7142857142857143,1,components,17.0,train,mean
28,1496.0,30.0,19.0,19.0,0.0127005347593582,1.0,0.6333333333333333,1,components,17.0,train,mean
29,1496.0,17.0,10.0,10.0,0.0066844919786096,1.0,0.5882352941176471,1,components,17.0,train,mean
30,1508.0,12.0,6.0,6.0,0.0039787798408488,1.0,0.5,1,components,17.0,train,mean
31,1472.0,62.0,43.0,43.0,0.0292119565217391,1.0,0.6935483870967742,1,components,17.0,train,mean
32,1473.0,15.0,10.0,10.0,0.0067888662593346,1.0,0.6666666666666666,1,components,17.0,train,mean
