y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
4,1528.0,75.0,13.0,13.0,0.0085078534031413,1.0,0.1733333333333333,1,components,17.0,train,qth_0.25
5,1401.0,150.0,11.0,11.0,0.0078515346181299,1.0,0.0733333333333333,1,components,17.0,train,qth_0.25
6,1521.0,13.0,1.0,1.0,0.0006574621959237,1.0,0.0769230769230769,1,components,17.0,train,qth_0.25
7,1508.0,58.0,1.0,1.0,0.0006631299734748,1.0,0.0172413793103448,1,components,17.0,train,qth_0.25
8,1497.0,30.0,3.0,3.0,0.002004008016032,1.0,0.1,1,components,17.0,train,qth_0.25
9,1521.0,29.0,2.0,2.0,0.0013149243918474,1.0,0.0689655172413793,1,components,17.0,train,qth_0.25
10,1447.0,29.0,2.0,2.0,0.0013821700069108,1.0,0.0689655172413793,1,components,17.0,train,qth_0.25
11,1485.0,27.0,1.0,1.0,0.0006734006734006,1.0,0.037037037037037,1,components,17.0,train,qth_0.25
12,1478.0,13.0,1.0,1.0,0.0006765899864682,1.0,0.0769230769230769,1,components,17.0,train,qth_0.25
13,1477.0,8.0,1.0,1.0,0.0006770480704129,1.0,0.125,1,components,17.0,train,qth_0.25
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,17.0,train,qth_0.25
15,1460.0,10.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
16,1455.0,9.0,2.0,2.0,0.0013745704467353,1.0,0.2222222222222222,1,components,17.0,train,qth_0.25
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
18,1563.0,28.0,1.0,1.0,0.000639795265515,1.0,0.0357142857142857,1,components,17.0,train,qth_0.25
19,1504.0,78.0,18.0,18.0,0.0119680851063829,1.0,0.2307692307692307,1,components,17.0,train,qth_0.25
20,1496.0,77.0,24.0,24.0,0.0160427807486631,1.0,0.3116883116883117,1,components,17.0,train,qth_0.25
21,1455.0,43.0,3.0,3.0,0.002061855670103,1.0,0.0697674418604651,1,components,17.0,train,qth_0.25
22,1527.0,19.0,1.0,1.0,0.0006548788474132,1.0,0.0526315789473684,1,components,17.0,train,qth_0.25
23,1467.0,27.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
24,1486.0,23.0,1.0,1.0,0.0006729475100942,1.0,0.0434782608695652,1,components,17.0,train,qth_0.25
25,1503.0,56.0,2.0,2.0,0.0013306719893546,1.0,0.0357142857142857,1,components,17.0,train,qth_0.25
26,1532.0,16.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
27,1519.0,28.0,1.0,1.0,0.0006583278472679,1.0,0.0357142857142857,1,components,17.0,train,qth_0.25
28,1496.0,30.0,1.0,1.0,0.0006684491978609,1.0,0.0333333333333333,1,components,17.0,train,qth_0.25
29,1496.0,17.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
30,1508.0,12.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
31,1472.0,62.0,6.0,6.0,0.0040760869565217,1.0,0.0967741935483871,1,components,17.0,train,qth_0.25
32,1473.0,15.0,2.0,2.0,0.0013577732518669,1.0,0.1333333333333333,1,components,17.0,train,qth_0.25
33,1464.0,145.0,9.0,9.0,0.0061475409836065,1.0,0.0620689655172413,1,components,17.0,train,qth_0.25
34,1519.0,97.0,7.0,7.0,0.0046082949308755,1.0,0.0721649484536082,1,components,17.0,train,qth_0.25
35,1492.0,11.0,1.0,1.0,0.0006702412868632,1.0,0.0909090909090909,1,components,17.0,train,qth_0.25
36,1484.0,119.0,16.0,16.0,0.0107816711590296,1.0,0.134453781512605,1,components,17.0,train,qth_0.25
37,1475.0,100.0,14.0,14.0,0.0094915254237288,1.0,0.14,1,components,17.0,train,qth_0.25
38,1401.0,93.0,16.0,16.0,0.0114204139900071,1.0,0.1720430107526881,1,components,17.0,train,qth_0.25
39,1541.0,111.0,11.0,11.0,0.0071382219338092,1.0,0.0990990990990991,1,components,17.0,train,qth_0.25
40,1489.0,21.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
41,1461.0,23.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,qth_0.25
42,1432.0,22.0,2.0,2.0,0.0013966480446927,1.0,0.0909090909090909,1,components,17.0,train,qth_0.25
all,63968.0,1983.0,192.0,192.0,0.0030015007503751,1.0,0.096822995461422,1,components,17.0,train,qth_0.25
0,1538.0,22.0,2.0,2.0,0.0013003901170351,1.0,0.0909090909090909,2,components,17.0,train,qth_0.25
1,1483.0,83.0,7.0,7.0,0.00472016183412,1.0,0.0843373493975903,2,components,17.0,train,qth_0.25
2,1473.0,85.0,5.0,5.0,0.0033944331296673,1.0,0.0588235294117647,2,components,17.0,train,qth_0.25
3,1478.0,68.0,4.0,4.0,0.0027063599458728,1.0,0.0588235294117647,2,components,17.0,train,qth_0.25
4,1528.0,75.0,13.0,13.0,0.0085078534031413,1.0,0.1733333333333333,2,components,17.0,train,qth_0.25
5,1401.0,150.0,11.0,11.0,0.0078515346181299,1.0,0.0733333333333333,2,components,17.0,train,qth_0.25
6,1521.0,13.0,1.0,1.0,0.0006574621959237,1.0,0.0769230769230769,2,components,17.0,train,qth_0.25
7,1508.0,58.0,1.0,1.0,0.0006631299734748,1.0,0.0172413793103448,2,components,17.0,train,qth_0.25
8,1497.0,30.0,3.0,3.0,0.002004008016032,1.0,0.1,2,components,17.0,train,qth_0.25
9,1521.0,29.0,2.0,2.0,0.0013149243918474,1.0,0.0689655172413793,2,components,17.0,train,qth_0.25
10,1447.0,29.0,2.0,2.0,0.0013821700069108,1.0,0.0689655172413793,2,components,17.0,train,qth_0.25
11,1485.0,27.0,1.0,1.0,0.0006734006734006,1.0,0.037037037037037,2,components,17.0,train,qth_0.25
12,1478.0,13.0,1.0,1.0,0.0006765899864682,1.0,0.0769230769230769,2,components,17.0,train,qth_0.25
13,1477.0,8.0,1.0,1.0,0.0006770480704129,1.0,0.125,2,components,17.0,train,qth_0.25
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,17.0,train,qth_0.25
15,1460.0,10.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
16,1455.0,9.0,2.0,2.0,0.0013745704467353,1.0,0.2222222222222222,2,components,17.0,train,qth_0.25
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
18,1563.0,28.0,1.0,1.0,0.000639795265515,1.0,0.0357142857142857,2,components,17.0,train,qth_0.25
19,1504.0,78.0,18.0,18.0,0.0119680851063829,1.0,0.2307692307692307,2,components,17.0,train,qth_0.25
20,1496.0,77.0,24.0,24.0,0.0160427807486631,1.0,0.3116883116883117,2,components,17.0,train,qth_0.25
21,1455.0,43.0,3.0,3.0,0.002061855670103,1.0,0.0697674418604651,2,components,17.0,train,qth_0.25
22,1527.0,19.0,1.0,1.0,0.0006548788474132,1.0,0.0526315789473684,2,components,17.0,train,qth_0.25
23,1467.0,27.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
24,1486.0,23.0,1.0,1.0,0.0006729475100942,1.0,0.0434782608695652,2,components,17.0,train,qth_0.25
25,1503.0,56.0,2.0,2.0,0.0013306719893546,1.0,0.0357142857142857,2,components,17.0,train,qth_0.25
26,1532.0,16.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
27,1519.0,28.0,1.0,1.0,0.0006583278472679,1.0,0.0357142857142857,2,components,17.0,train,qth_0.25
28,1496.0,30.0,1.0,1.0,0.0006684491978609,1.0,0.0333333333333333,2,components,17.0,train,qth_0.25
29,1496.0,17.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
30,1508.0,12.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
31,1472.0,62.0,6.0,6.0,0.0040760869565217,1.0,0.0967741935483871,2,components,17.0,train,qth_0.25
32,1473.0,15.0,2.0,2.0,0.0013577732518669,1.0,0.1333333333333333,2,components,17.0,train,qth_0.25
33,1464.0,145.0,9.0,9.0,0.0061475409836065,1.0,0.0620689655172413,2,components,17.0,train,qth_0.25
34,1519.0,97.0,7.0,7.0,0.0046082949308755,1.0,0.0721649484536082,2,components,17.0,train,qth_0.25
35,1492.0,11.0,1.0,1.0,0.0006702412868632,1.0,0.0909090909090909,2,components,17.0,train,qth_0.25
36,1484.0,119.0,16.0,16.0,0.0107816711590296,1.0,0.134453781512605,2,components,17.0,train,qth_0.25
37,1475.0,100.0,14.0,14.0,0.0094915254237288,1.0,0.14,2,components,17.0,train,qth_0.25
38,1401.0,93.0,16.0,16.0,0.0114204139900071,1.0,0.1720430107526881,2,components,17.0,train,qth_0.25
39,1541.0,111.0,11.0,11.0,0.0071382219338092,1.0,0.0990990990990991,2,components,17.0,train,qth_0.25
40,1489.0,21.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
41,1461.0,23.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,qth_0.25
42,1432.0,22.0,2.0,2.0,0.0013966480446927,1.0,0.0909090909090909,2,components,17.0,train,qth_0.25
all,63968.0,1983.0,192.0,192.0,0.0030015007503751,1.0,0.096822995461422,2,components,17.0,train,qth_0.25
0,1538.0,22.0,2.0,2.0,0.0013003901170351,1.0,0.0909090909090909,3,components,17.0,train,qth_0.25
1,1483.0,83.0,7.0,7.0,0.00472016183412,1.0,0.0843373493975903,3,components,17.0,train,qth_0.25
2,1473.0,85.0,5.0,5.0,0.0033944331296673,1.0,0.0588235294117647,3,components,17.0,train,qth_0.25
3,1478.0,68.0,4.0,4.0,0.0027063599458728,1.0,0.0588235294117647,3,components,17.0,train,qth_0.25
4,1528.0,75.0,13.0,13.0,0.0085078534031413,1.0,0.1733333333333333,3,components,17.0,train,qth_0.25
5,1401.0,150.0,11.0,11.0,0.0078515346181299,1.0,0.0733333333333333,3,components,17.0,train,qth_0.25
6,1521.0,13.0,1.0,1.0,0.0006574621959237,1.0,0.0769230769230769,3,components,17.0,train,qth_0.25
7,1508.0,58.0,1.0,1.0,0.0006631299734748,1.0,0.0172413793103448,3,components,17.0,train,qth_0.25
8,1497.0,30.0,3.0,3.0,0.002004008016032,1.0,0.1,3,components,17.0,train,qth_0.25
9,1521.0,29.0,2.0,2.0,0.0013149243918474,1.0,0.0689655172413793,3,components,17.0,train,qth_0.25
10,1447.0,29.0,2.0,2.0,0.0013821700069108,1.0,0.0689655172413793,3,components,17.0,train,qth_0.25
11,1485.0,27.0,1.0,1.0,0.0006734006734006,1.0,0.037037037037037,3,components,17.0,train,qth_0.25
12,1478.0,13.0,1.0,1.0,0.0006765899864682,1.0,0.0769230769230769,3,components,17.0,train,qth_0.25
13,1477.0,8.0,1.0,1.0,0.0006770480704129,1.0,0.125,3,components,17.0,train,qth_0.25
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,17.0,train,qth_0.25
15,1460.0,10.0,0.0,0.0,0.0,0.0,1.0,3,components,17.0,train,qth_0.25
16,1455.0,9.0,2.0,2.0,0.0013745704467353,1.0,0.2222222222222222,3,components,17.0,train,qth_0.25
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,3,components,17.0,train,qth_0.25
18,1563.0,28.0,1.0,1.0,0.000639795265515,1.0,0.0357142857142857,3,components,17.0,train,qth_0.25
19,1504.0,78.0,18.0,18.0,0.0119680851063829,1.0,0.2307692307692307,3,components,17.0,train,qth_0.25
20,1496.0,77.0,24.0,24.0,0.0160427807486631,1.0,0.3116883116883117,3,components,17.0,train,qth_0.25
21,1455.0,43.0,3.0,3.0,0.002061855670103,1.0,0.0697674418604651,3,components,17.0,train,qth_0.25
22,1527.0,19.0,1.0,1.0,0.0006548788474132,1.0,0.0526315789473684,3,components,17.0,train,qth_0.25
23,1467.0,27.0,0.0,0.0,0.0,0.0,1.0,3,components,17.0,train,qth_0.25
