y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
15,1460.0,10.0,7.0,7.0,0.004794520547945206,1.0,0.7,1,components,17.0,train,relu
16,1455.0,9.0,5.0,5.0,0.003436426116838488,1.0,0.5555555555555556,1,components,17.0,train,relu
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,1,components,17.0,train,relu
18,1563.0,28.0,16.0,16.0,0.010236724248240563,1.0,0.5714285714285714,1,components,17.0,train,relu
19,1504.0,78.0,24.0,24.0,0.015957446808510637,1.0,0.3076923076923077,1,components,17.0,train,relu
20,1496.0,77.0,38.0,38.0,0.02540106951871658,1.0,0.4935064935064935,1,components,17.0,train,relu
21,1455.0,43.0,26.0,26.0,0.017869415807560136,1.0,0.6046511627906976,1,components,17.0,train,relu
22,1527.0,19.0,12.0,12.0,0.007858546168958742,1.0,0.631578947368421,1,components,17.0,train,relu
23,1467.0,27.0,17.0,17.0,0.011588275391956374,1.0,0.6296296296296297,1,components,17.0,train,relu
24,1486.0,23.0,14.0,14.0,0.009421265141318977,1.0,0.6086956521739131,1,components,17.0,train,relu
25,1503.0,56.0,38.0,38.0,0.025282767797737856,1.0,0.6785714285714286,1,components,17.0,train,relu
26,1532.0,16.0,12.0,12.0,0.007832898172323759,1.0,0.75,1,components,17.0,train,relu
27,1519.0,28.0,20.0,20.0,0.013166556945358789,1.0,0.7142857142857143,1,components,17.0,train,relu
28,1496.0,30.0,19.0,19.0,0.01270053475935829,1.0,0.6333333333333333,1,components,17.0,train,relu
29,1496.0,17.0,10.0,10.0,0.0066844919786096255,1.0,0.5882352941176471,1,components,17.0,train,relu
30,1508.0,12.0,6.0,6.0,0.003978779840848806,1.0,0.5,1,components,17.0,train,relu
31,1472.0,62.0,42.0,42.0,0.028532608695652172,1.0,0.6774193548387096,1,components,17.0,train,relu
32,1473.0,15.0,10.0,10.0,0.006788866259334691,1.0,0.6666666666666666,1,components,17.0,train,relu
33,1464.0,145.0,70.0,70.0,0.04781420765027322,1.0,0.4827586206896552,1,components,17.0,train,relu
34,1519.0,97.0,38.0,38.0,0.025016458196181698,1.0,0.3917525773195876,1,components,17.0,train,relu
35,1492.0,11.0,8.0,8.0,0.005361930294906166,1.0,0.7272727272727273,1,components,17.0,train,relu
36,1484.0,119.0,57.0,57.0,0.03840970350404313,1.0,0.4789915966386555,1,components,17.0,train,relu
37,1475.0,100.0,37.0,37.0,0.025084745762711864,1.0,0.37,1,components,17.0,train,relu
38,1401.0,93.0,45.0,45.0,0.032119914346895075,1.0,0.4838709677419355,1,components,17.0,train,relu
39,1541.0,111.0,38.0,38.0,0.02465931213497729,1.0,0.34234234234234234,1,components,17.0,train,relu
40,1489.0,21.0,11.0,11.0,0.007387508394895903,1.0,0.5238095238095238,1,components,17.0,train,relu
41,1461.0,23.0,12.0,12.0,0.008213552361396304,1.0,0.5217391304347826,1,components,17.0,train,relu
42,1432.0,22.0,8.0,8.0,0.00558659217877095,1.0,0.36363636363636365,1,components,17.0,train,relu
all,63968.0,1983.0,1040.0,1040.0,0.016258129064532265,1.0,0.524457892082703,1,components,17.0,train,relu
0,1538.0,22.0,8.0,8.0,0.005201560468140442,1.0,0.36363636363636365,2,components,17.0,train,relu
1,1483.0,83.0,50.0,50.0,0.033715441672285906,1.0,0.6024096385542169,2,components,17.0,train,relu
2,1473.0,85.0,50.0,50.0,0.03394433129667346,1.0,0.5882352941176471,2,components,17.0,train,relu
3,1478.0,68.0,40.0,40.0,0.02706359945872801,1.0,0.5882352941176471,2,components,17.0,train,relu
4,1528.0,75.0,35.0,35.0,0.022905759162303665,1.0,0.4666666666666667,2,components,17.0,train,relu
5,1401.0,150.0,87.0,87.0,0.06209850107066381,1.0,0.58,2,components,17.0,train,relu
6,1521.0,13.0,9.0,9.0,0.005917159763313609,1.0,0.6923076923076923,2,components,17.0,train,relu
7,1508.0,58.0,36.0,36.0,0.023872679045092837,1.0,0.6206896551724138,2,components,17.0,train,relu
8,1497.0,30.0,15.0,15.0,0.01002004008016032,1.0,0.5,2,components,17.0,train,relu
9,1521.0,29.0,17.0,17.0,0.011176857330703484,1.0,0.5862068965517241,2,components,17.0,train,relu
10,1447.0,29.0,21.0,21.0,0.014512785072563926,1.0,0.7241379310344828,2,components,17.0,train,relu
11,1485.0,27.0,15.0,15.0,0.010101010101010102,1.0,0.5555555555555556,2,components,17.0,train,relu
12,1478.0,13.0,10.0,10.0,0.006765899864682003,1.0,0.7692307692307693,2,components,17.0,train,relu
13,1477.0,8.0,7.0,7.0,0.004739336492890996,1.0,0.875,2,components,17.0,train,relu
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,17.0,train,relu
15,1460.0,10.0,7.0,7.0,0.004794520547945206,1.0,0.7,2,components,17.0,train,relu
16,1455.0,9.0,5.0,5.0,0.003436426116838488,1.0,0.5555555555555556,2,components,17.0,train,relu
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,2,components,17.0,train,relu
18,1563.0,28.0,16.0,16.0,0.010236724248240563,1.0,0.5714285714285714,2,components,17.0,train,relu
19,1504.0,78.0,24.0,24.0,0.015957446808510637,1.0,0.3076923076923077,2,components,17.0,train,relu
20,1496.0,77.0,38.0,38.0,0.02540106951871658,1.0,0.4935064935064935,2,components,17.0,train,relu
21,1455.0,43.0,26.0,26.0,0.017869415807560136,1.0,0.6046511627906976,2,components,17.0,train,relu
22,1527.0,19.0,12.0,12.0,0.007858546168958742,1.0,0.631578947368421,2,components,17.0,train,relu
23,1467.0,27.0,17.0,17.0,0.011588275391956374,1.0,0.6296296296296297,2,components,17.0,train,relu
24,1486.0,23.0,14.0,14.0,0.009421265141318977,1.0,0.6086956521739131,2,components,17.0,train,relu
25,1503.0,56.0,38.0,38.0,0.025282767797737856,1.0,0.6785714285714286,2,components,17.0,train,relu
26,1532.0,16.0,12.0,12.0,0.007832898172323759,1.0,0.75,2,components,17.0,train,relu
27,1519.0,28.0,20.0,20.0,0.013166556945358789,1.0,0.7142857142857143,2,components,17.0,train,relu
28,1496.0,30.0,19.0,19.0,0.01270053475935829,1.0,0.6333333333333333,2,components,17.0,train,relu
29,1496.0,17.0,10.0,10.0,0.0066844919786096255,1.0,0.5882352941176471,2,components,17.0,train,relu
30,1508.0,12.0,6.0,6.0,0.003978779840848806,1.0,0.5,2,components,17.0,train,relu
31,1472.0,62.0,42.0,42.0,0.028532608695652172,1.0,0.6774193548387096,2,components,17.0,train,relu
32,1473.0,15.0,10.0,10.0,0.006788866259334691,1.0,0.6666666666666666,2,components,17.0,train,relu
33,1464.0,145.0,70.0,70.0,0.04781420765027322,1.0,0.4827586206896552,2,components,17.0,train,relu
34,1519.0,97.0,38.0,38.0,0.025016458196181698,1.0,0.3917525773195876,2,components,17.0,train,relu
35,1492.0,11.0,8.0,8.0,0.005361930294906166,1.0,0.7272727272727273,2,components,17.0,train,relu
36,1484.0,119.0,57.0,57.0,0.03840970350404313,1.0,0.4789915966386555,2,components,17.0,train,relu
37,1475.0,100.0,37.0,37.0,0.025084745762711864,1.0,0.37,2,components,17.0,train,relu
38,1401.0,93.0,45.0,45.0,0.032119914346895075,1.0,0.4838709677419355,2,components,17.0,train,relu
39,1541.0,111.0,38.0,38.0,0.02465931213497729,1.0,0.34234234234234234,2,components,17.0,train,relu
40,1489.0,21.0,11.0,11.0,0.007387508394895903,1.0,0.5238095238095238,2,components,17.0,train,relu
41,1461.0,23.0,12.0,12.0,0.008213552361396304,1.0,0.5217391304347826,2,components,17.0,train,relu
42,1432.0,22.0,8.0,8.0,0.00558659217877095,1.0,0.36363636363636365,2,components,17.0,train,relu
all,63968.0,1983.0,1040.0,1040.0,0.016258129064532265,1.0,0.524457892082703,2,components,17.0,train,relu
0,1538.0,22.0,8.0,8.0,0.005201560468140442,1.0,0.36363636363636365,3,components,17.0,train,relu
1,1483.0,83.0,50.0,50.0,0.033715441672285906,1.0,0.6024096385542169,3,components,17.0,train,relu
2,1473.0,85.0,50.0,50.0,0.03394433129667346,1.0,0.5882352941176471,3,components,17.0,train,relu
3,1478.0,68.0,40.0,40.0,0.02706359945872801,1.0,0.5882352941176471,3,components,17.0,train,relu
4,1528.0,75.0,35.0,35.0,0.022905759162303665,1.0,0.4666666666666667,3,components,17.0,train,relu
5,1401.0,150.0,87.0,87.0,0.06209850107066381,1.0,0.58,3,components,17.0,train,relu
6,1521.0,13.0,9.0,9.0,0.005917159763313609,1.0,0.6923076923076923,3,components,17.0,train,relu
7,1508.0,58.0,36.0,36.0,0.023872679045092837,1.0,0.6206896551724138,3,components,17.0,train,relu
8,1497.0,30.0,15.0,15.0,0.01002004008016032,1.0,0.5,3,components,17.0,train,relu
9,1521.0,29.0,17.0,17.0,0.011176857330703484,1.0,0.5862068965517241,3,components,17.0,train,relu
10,1447.0,29.0,21.0,21.0,0.014512785072563926,1.0,0.7241379310344828,3,components,17.0,train,relu
11,1485.0,27.0,15.0,15.0,0.010101010101010102,1.0,0.5555555555555556,3,components,17.0,train,relu
12,1478.0,13.0,10.0,10.0,0.006765899864682003,1.0,0.7692307692307693,3,components,17.0,train,relu
13,1477.0,8.0,7.0,7.0,0.004739336492890996,1.0,0.875,3,components,17.0,train,relu
14,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,17.0,train,relu
15,1460.0,10.0,7.0,7.0,0.004794520547945206,1.0,0.7,3,components,17.0,train,relu
16,1455.0,9.0,5.0,5.0,0.003436426116838488,1.0,0.5555555555555556,3,components,17.0,train,relu
17,1478.0,1.0,0.0,0.0,0.0,0.0,1.0,3,components,17.0,train,relu
18,1563.0,28.0,16.0,16.0,0.010236724248240563,1.0,0.5714285714285714,3,components,17.0,train,relu
19,1504.0,78.0,24.0,24.0,0.015957446808510637,1.0,0.3076923076923077,3,components,17.0,train,relu
20,1496.0,77.0,38.0,38.0,0.02540106951871658,1.0,0.4935064935064935,3,components,17.0,train,relu
21,1455.0,43.0,26.0,26.0,0.017869415807560136,1.0,0.6046511627906976,3,components,17.0,train,relu
22,1527.0,19.0,12.0,12.0,0.007858546168958742,1.0,0.631578947368421,3,components,17.0,train,relu
23,1467.0,27.0,17.0,17.0,0.011588275391956374,1.0,0.6296296296296297,3,components,17.0,train,relu
24,1486.0,23.0,14.0,14.0,0.009421265141318977,1.0,0.6086956521739131,3,components,17.0,train,relu
25,1503.0,56.0,38.0,38.0,0.025282767797737856,1.0,0.6785714285714286,3,components,17.0,train,relu
26,1532.0,16.0,12.0,12.0,0.007832898172323759,1.0,0.75,3,components,17.0,train,relu
27,1519.0,28.0,20.0,20.0,0.013166556945358789,1.0,0.7142857142857143,3,components,17.0,train,relu
28,1496.0,30.0,19.0,19.0,0.01270053475935829,1.0,0.6333333333333333,3,components,17.0,train,relu
29,1496.0,17.0,10.0,10.0,0.0066844919786096255,1.0,0.5882352941176471,3,components,17.0,train,relu
30,1508.0,12.0,6.0,6.0,0.003978779840848806,1.0,0.5,3,components,17.0,train,relu
31,1472.0,62.0,42.0,42.0,0.028532608695652172,1.0,0.6774193548387096,3,components,17.0,train,relu
32,1473.0,15.0,10.0,10.0,0.006788866259334691,1.0,0.6666666666666666,3,components,17.0,train,relu
33,1464.0,145.0,70.0,70.0,0.04781420765027322,1.0,0.4827586206896552,3,components,17.0,train,relu
34,1519.0,97.0,38.0,38.0,0.025016458196181698,1.0,0.3917525773195876,3,components,17.0,train,relu
35,1492.0,11.0,8.0,8.0,0.005361930294906166,1.0,0.7272727272727273,3,components,17.0,train,relu
36,1484.0,119.0,57.0,57.0,0.03840970350404313,1.0,0.4789915966386555,3,components,17.0,train,relu
37,1475.0,100.0,37.0,37.0,0.025084745762711864,1.0,0.37,3,components,17.0,train,relu
38,1401.0,93.0,45.0,45.0,0.032119914346895075,1.0,0.4838709677419355,3,components,17.0,train,relu
39,1541.0,111.0,38.0,38.0,0.02465931213497729,1.0,0.34234234234234234,3,components,17.0,train,relu
40,1489.0,21.0,11.0,11.0,0.007387508394895903,1.0,0.5238095238095238,3,components,17.0,train,relu
41,1461.0,23.0,12.0,12.0,0.008213552361396304,1.0,0.5217391304347826,3,components,17.0,train,relu
42,1432.0,22.0,8.0,8.0,0.00558659217877095,1.0,0.36363636363636365,3,components,17.0,train,relu
all,63968.0,1983.0,1040.0,1040.0,0.016258129064532265,1.0,0.524457892082703,3,components,17.0,train,relu
0,94.0,2.0,0.0,0.0,0.0,0.0,1.0,0,components,17.0,test,relu
1,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
2,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
3,100.0,4.0,1.0,1.0,0.01,1.0,0.25,0,components,17.0,test,relu
4,107.0,5.0,4.0,4.0,0.037383177570093455,1.0,0.8,0,components,17.0,test,relu
5,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
6,76.0,5.0,1.0,1.0,0.013157894736842105,1.0,0.2,0,components,17.0,test,relu
7,97.0,2.0,1.0,1.0,0.010309278350515464,1.0,0.5,0,components,17.0,test,relu
8,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
9,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
10,95.0,2.0,1.0,1.0,0.010526315789473684,1.0,0.5,0,components,17.0,test,relu
11,81.0,1.0,1.0,1.0,0.012345679012345678,1.0,1.0,0,components,17.0,test,relu
12,98.0,9.0,8.0,8.0,0.08163265306122448,1.0,0.8888888888888888,0,components,17.0,test,relu
13,92.0,1.0,1.0,1.0,0.010869565217391304,1.0,1.0,0,components,17.0,test,relu
14,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
16,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,17.0,test,relu
