y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
2,5958.0,270.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
3,6131.0,201.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
4,5842.0,278.0,3.0,3.0,0.0005135227661759,1.0,0.0107913669064748,0,top_third,10.0,train,qth_0.25
5,5421.0,133.0,1.0,1.0,0.000184467810367,1.0,0.0075187969924812,0,top_third,10.0,train,qth_0.25
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
8,5851.0,239.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
9,5949.0,230.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.25
all,60000.0,1803.0,4.0,4.0,6.666666666666667e-05,1.0,0.002218524681087,0,top_third,10.0,train,qth_0.25
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
2,5958.0,270.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
3,6131.0,201.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
4,5842.0,278.0,3.0,3.0,0.0005135227661759,1.0,0.0107913669064748,1,top_third,10.0,train,qth_0.25
5,5421.0,133.0,1.0,1.0,0.000184467810367,1.0,0.0075187969924812,1,top_third,10.0,train,qth_0.25
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
8,5851.0,239.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
9,5949.0,230.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.25
all,60000.0,1803.0,4.0,4.0,6.666666666666667e-05,1.0,0.002218524681087,1,top_third,10.0,train,qth_0.25
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
2,5958.0,270.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
3,6131.0,201.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
4,5842.0,278.0,3.0,3.0,0.0005135227661759,1.0,0.0107913669064748,2,top_third,10.0,train,qth_0.25
5,5421.0,133.0,1.0,1.0,0.000184467810367,1.0,0.0075187969924812,2,top_third,10.0,train,qth_0.25
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
8,5851.0,239.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
9,5949.0,230.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.25
all,60000.0,1803.0,4.0,4.0,6.666666666666667e-05,1.0,0.002218524681087,2,top_third,10.0,train,qth_0.25
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
2,5958.0,270.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
3,6131.0,201.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
4,5842.0,278.0,3.0,3.0,0.0005135227661759,1.0,0.0107913669064748,3,top_third,10.0,train,qth_0.25
5,5421.0,133.0,1.0,1.0,0.000184467810367,1.0,0.0075187969924812,3,top_third,10.0,train,qth_0.25
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
8,5851.0,239.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
9,5949.0,230.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,qth_0.25
all,60000.0,1803.0,4.0,4.0,6.666666666666667e-05,1.0,0.002218524681087,3,top_third,10.0,train,qth_0.25
0,979.0,7.0,1.0,0.0,0.0010214504596527,1.0,1.0,0,top_third,10.0,test,qth_0.25
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,test,qth_0.25
2,1030.0,45.0,1.0,1.0,0.0009708737864077,1.0,0.0222222222222222,0,top_third,10.0,test,qth_0.25
3,1008.0,32.0,6.0,0.0,0.0059523809523809,1.0,1.0,0,top_third,10.0,test,qth_0.25
