y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,258,50,50,0,0.0083375020843755,1.0,0.1937984496124031,0,,30,train,qth_0.75
1,5997,35,11,11,0,0.0018342504585626,1.0,0.3142857142857143,0,,30,train,qth_0.75
2,5997,258,73,73,0,0.0121727530431882,1.0,0.28294573643410853,0,,30,train,qth_0.75
3,5997,173,59,59,0,0.0098382524595631,1.0,0.34104046242774566,0,,30,train,qth_0.75
4,5994,306,78,78,0,0.013013013013013,1.0,0.2549019607843137,0,,30,train,qth_0.75
5,5996,57,18,18,0,0.0030020013342228,1.0,0.3157894736842105,0,,30,train,qth_0.75
6,5995,1135,258,258,0,0.0430358632193494,1.0,0.22731277533039648,0,,30,train,qth_0.75
7,5998,167,15,15,0,0.0025008336112037,1.0,0.08982035928143713,0,,30,train,qth_0.75
8,5999,18,7,7,0,0.0011668611435239,1.0,0.3888888888888889,0,,30,train,qth_0.75
9,5998,60,8,8,0,0.0013337779259753,1.0,0.13333333333333333,0,,30,train,qth_0.75
all,59968,2467,577,577,0,0.0096217982924226,1.0,0.2338873125253344,0,,30,train,qth_0.75
0,5997,258,50,50,0,0.0083375020843755,1.0,0.1937984496124031,1,,30,train,qth_0.75
1,5997,35,11,11,0,0.0018342504585626,1.0,0.3142857142857143,1,,30,train,qth_0.75
2,5997,258,73,73,0,0.0121727530431882,1.0,0.28294573643410853,1,,30,train,qth_0.75
3,5997,173,59,59,0,0.0098382524595631,1.0,0.34104046242774566,1,,30,train,qth_0.75
4,5994,306,78,78,0,0.013013013013013,1.0,0.2549019607843137,1,,30,train,qth_0.75
5,5996,57,18,18,0,0.0030020013342228,1.0,0.3157894736842105,1,,30,train,qth_0.75
6,5995,1135,258,258,0,0.0430358632193494,1.0,0.22731277533039648,1,,30,train,qth_0.75
7,5998,167,15,15,0,0.0025008336112037,1.0,0.08982035928143713,1,,30,train,qth_0.75
8,5999,18,7,7,0,0.0011668611435239,1.0,0.3888888888888889,1,,30,train,qth_0.75
9,5998,60,8,8,0,0.0013337779259753,1.0,0.13333333333333333,1,,30,train,qth_0.75
all,59968,2467,577,577,0,0.0096217982924226,1.0,0.2338873125253344,1,,30,train,qth_0.75
0,5997,258,50,50,0,0.0083375020843755,1.0,0.1937984496124031,2,,30,train,qth_0.75
1,5997,35,11,11,0,0.0018342504585626,1.0,0.3142857142857143,2,,30,train,qth_0.75
2,5997,258,73,73,0,0.0121727530431882,1.0,0.28294573643410853,2,,30,train,qth_0.75
3,5997,173,59,59,0,0.0098382524595631,1.0,0.34104046242774566,2,,30,train,qth_0.75
4,5994,306,78,78,0,0.013013013013013,1.0,0.2549019607843137,2,,30,train,qth_0.75
5,5996,57,18,18,0,0.0030020013342228,1.0,0.3157894736842105,2,,30,train,qth_0.75
6,5995,1135,258,258,0,0.0430358632193494,1.0,0.22731277533039648,2,,30,train,qth_0.75
7,5998,167,15,15,0,0.0025008336112037,1.0,0.08982035928143713,2,,30,train,qth_0.75
8,5999,18,7,7,0,0.0011668611435239,1.0,0.3888888888888889,2,,30,train,qth_0.75
9,5998,60,8,8,0,0.0013337779259753,1.0,0.13333333333333333,2,,30,train,qth_0.75
all,59968,2467,577,577,0,0.0096217982924226,1.0,0.2338873125253344,2,,30,train,qth_0.75
0,5997,258,50,50,0,0.0083375020843755,1.0,0.1937984496124031,3,,30,train,qth_0.75
1,5997,35,11,11,0,0.0018342504585626,1.0,0.3142857142857143,3,,30,train,qth_0.75
2,5997,258,73,73,0,0.0121727530431882,1.0,0.28294573643410853,3,,30,train,qth_0.75
3,5997,173,59,59,0,0.0098382524595631,1.0,0.34104046242774566,3,,30,train,qth_0.75
4,5994,306,78,78,0,0.013013013013013,1.0,0.2549019607843137,3,,30,train,qth_0.75
5,5996,57,18,18,0,0.0030020013342228,1.0,0.3157894736842105,3,,30,train,qth_0.75
6,5995,1135,258,258,0,0.0430358632193494,1.0,0.22731277533039648,3,,30,train,qth_0.75
7,5998,167,15,15,0,0.0025008336112037,1.0,0.08982035928143713,3,,30,train,qth_0.75
8,5999,18,7,7,0,0.0011668611435239,1.0,0.3888888888888889,3,,30,train,qth_0.75
9,5998,60,8,8,0,0.0013337779259753,1.0,0.13333333333333333,3,,30,train,qth_0.75
all,59968,2467,577,577,0,0.0096217982924226,1.0,0.2338873125253344,3,,30,train,qth_0.75
0,1000,82,147,12,135,0.147,0.0816326530612244,0.14634146341463414,0,,30,test,qth_0.75
1,997,15,62,7,55,0.0621865596790371,0.1129032258064516,0.4666666666666667,0,,30,test,qth_0.75
2,999,90,215,24,191,0.2152152152152152,0.1116279069767441,0.26666666666666666,0,,30,test,qth_0.75
3,999,65,84,21,63,0.084084084084084,0.25,0.3230769230769231,0,,30,test,qth_0.75
4,999,109,112,33,79,0.1121121121121121,0.2946428571428571,0.30275229357798167,0,,30,test,qth_0.75
