y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,38,38,0,0.0064156677359446,1.0,0.9047619047619048,0,gte_mean,45,train,qth_0.75
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,0,gte_mean,45,train,qth_0.75
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,0,gte_mean,45,train,qth_0.75
3,6131,260,231,231,0,0.0376773772630892,1.0,0.8884615384615384,0,gte_mean,45,train,qth_0.75
4,5842,170,122,122,0,0.0208832591578226,1.0,0.7176470588235294,0,gte_mean,45,train,qth_0.75
5,5421,218,196,196,0,0.0361556908319498,1.0,0.8990825688073395,0,gte_mean,45,train,qth_0.75
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,0,gte_mean,45,train,qth_0.75
7,6265,211,162,162,0,0.0258579409417398,1.0,0.7677725118483413,0,gte_mean,45,train,qth_0.75
8,5851,249,234,234,0,0.0399931635617843,1.0,0.9397590361445783,0,gte_mean,45,train,qth_0.75
9,5949,256,203,203,0,0.034123382081022,1.0,0.79296875,0,gte_mean,45,train,qth_0.75
all,60000,1992,1723,1723,0,0.0287166666666666,1.0,0.8649598393574297,0,gte_mean,45,train,qth_0.75
0,5923,42,38,38,0,0.0064156677359446,1.0,0.9047619047619048,1,gte_mean,45,train,qth_0.75
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,1,gte_mean,45,train,qth_0.75
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,1,gte_mean,45,train,qth_0.75
3,6131,260,231,231,0,0.0376773772630892,1.0,0.8884615384615384,1,gte_mean,45,train,qth_0.75
4,5842,170,122,122,0,0.0208832591578226,1.0,0.7176470588235294,1,gte_mean,45,train,qth_0.75
5,5421,218,196,196,0,0.0361556908319498,1.0,0.8990825688073395,1,gte_mean,45,train,qth_0.75
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,1,gte_mean,45,train,qth_0.75
7,6265,211,162,162,0,0.0258579409417398,1.0,0.7677725118483413,1,gte_mean,45,train,qth_0.75
8,5851,249,234,234,0,0.0399931635617843,1.0,0.9397590361445783,1,gte_mean,45,train,qth_0.75
9,5949,256,203,203,0,0.034123382081022,1.0,0.79296875,1,gte_mean,45,train,qth_0.75
all,60000,1992,1723,1723,0,0.0287166666666666,1.0,0.8649598393574297,1,gte_mean,45,train,qth_0.75
0,5923,42,38,38,0,0.0064156677359446,1.0,0.9047619047619048,2,gte_mean,45,train,qth_0.75
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,2,gte_mean,45,train,qth_0.75
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,2,gte_mean,45,train,qth_0.75
3,6131,260,231,231,0,0.0376773772630892,1.0,0.8884615384615384,2,gte_mean,45,train,qth_0.75
4,5842,170,122,122,0,0.0208832591578226,1.0,0.7176470588235294,2,gte_mean,45,train,qth_0.75
5,5421,218,196,196,0,0.0361556908319498,1.0,0.8990825688073395,2,gte_mean,45,train,qth_0.75
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,2,gte_mean,45,train,qth_0.75
7,6265,211,162,162,0,0.0258579409417398,1.0,0.7677725118483413,2,gte_mean,45,train,qth_0.75
8,5851,249,234,234,0,0.0399931635617843,1.0,0.9397590361445783,2,gte_mean,45,train,qth_0.75
9,5949,256,203,203,0,0.034123382081022,1.0,0.79296875,2,gte_mean,45,train,qth_0.75
all,60000,1992,1723,1723,0,0.0287166666666666,1.0,0.8649598393574297,2,gte_mean,45,train,qth_0.75
0,5923,42,38,38,0,0.0064156677359446,1.0,0.9047619047619048,3,gte_mean,45,train,qth_0.75
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,3,gte_mean,45,train,qth_0.75
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,3,gte_mean,45,train,qth_0.75
3,6131,260,231,231,0,0.0376773772630892,1.0,0.8884615384615384,3,gte_mean,45,train,qth_0.75
4,5842,170,122,122,0,0.0208832591578226,1.0,0.7176470588235294,3,gte_mean,45,train,qth_0.75
5,5421,218,196,196,0,0.0361556908319498,1.0,0.8990825688073395,3,gte_mean,45,train,qth_0.75
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,3,gte_mean,45,train,qth_0.75
7,6265,211,162,162,0,0.0258579409417398,1.0,0.7677725118483413,3,gte_mean,45,train,qth_0.75
8,5851,249,234,234,0,0.0399931635617843,1.0,0.9397590361445783,3,gte_mean,45,train,qth_0.75
9,5949,256,203,203,0,0.034123382081022,1.0,0.79296875,3,gte_mean,45,train,qth_0.75
all,60000,1992,1723,1723,0,0.0287166666666666,1.0,0.8649598393574297,3,gte_mean,45,train,qth_0.75
0,979,7,6,6,0,0.0061287027579162,1.0,0.8571428571428571,0,gte_mean,45,test,qth_0.75
1,1133,11,9,9,0,0.0079435127978817,1.0,0.8181818181818182,0,gte_mean,45,test,qth_0.75
2,1030,51,45,45,0,0.0436893203883495,1.0,0.8823529411764706,0,gte_mean,45,test,qth_0.75
3,1008,39,36,36,0,0.0357142857142857,1.0,0.9230769230769231,0,gte_mean,45,test,qth_0.75
4,980,27,21,21,0,0.0214285714285714,1.0,0.7777777777777778,0,gte_mean,45,test,qth_0.75
5,890,28,26,26,0,0.0292134831460674,1.0,0.9285714285714286,0,gte_mean,45,test,qth_0.75
6,956,22,17,17,0,0.0177824267782426,1.0,0.7727272727272727,0,gte_mean,45,test,qth_0.75
7,1027,45,42,42,0,0.0408958130477117,1.0,0.9333333333333333,0,gte_mean,45,test,qth_0.75
8,973,38,37,37,0,0.0380267214799588,1.0,0.9736842105263158,0,gte_mean,45,test,qth_0.75
9,1008,35,32,32,0,0.0317460317460317,1.0,0.9142857142857143,0,gte_mean,45,test,qth_0.75
all,9984,303,271,271,0,0.0271434294871794,1.0,0.8943894389438944,0,gte_mean,45,test,qth_0.75
0,979,7,6,6,0,0.0061287027579162,1.0,0.8571428571428571,1,gte_mean,45,test,qth_0.75
1,1133,11,9,9,0,0.0079435127978817,1.0,0.8181818181818182,1,gte_mean,45,test,qth_0.75
2,1030,51,45,45,0,0.0436893203883495,1.0,0.8823529411764706,1,gte_mean,45,test,qth_0.75
3,1008,39,36,36,0,0.0357142857142857,1.0,0.9230769230769231,1,gte_mean,45,test,qth_0.75
4,980,27,21,21,0,0.0214285714285714,1.0,0.7777777777777778,1,gte_mean,45,test,qth_0.75
5,890,28,26,26,0,0.0292134831460674,1.0,0.9285714285714286,1,gte_mean,45,test,qth_0.75
6,956,22,17,17,0,0.0177824267782426,1.0,0.7727272727272727,1,gte_mean,45,test,qth_0.75
7,1027,45,42,42,0,0.0408958130477117,1.0,0.9333333333333333,1,gte_mean,45,test,qth_0.75
8,973,38,37,37,0,0.0380267214799588,1.0,0.9736842105263158,1,gte_mean,45,test,qth_0.75
9,1008,35,32,32,0,0.0317460317460317,1.0,0.9142857142857143,1,gte_mean,45,test,qth_0.75
all,9984,303,271,271,0,0.0271434294871794,1.0,0.8943894389438944,1,gte_mean,45,test,qth_0.75
0,979,7,6,6,0,0.0061287027579162,1.0,0.8571428571428571,2,gte_mean,45,test,qth_0.75
1,1133,11,9,9,0,0.0079435127978817,1.0,0.8181818181818182,2,gte_mean,45,test,qth_0.75
2,1030,51,45,45,0,0.0436893203883495,1.0,0.8823529411764706,2,gte_mean,45,test,qth_0.75
3,1008,39,36,36,0,0.0357142857142857,1.0,0.9230769230769231,2,gte_mean,45,test,qth_0.75
4,980,27,21,21,0,0.0214285714285714,1.0,0.7777777777777778,2,gte_mean,45,test,qth_0.75
5,890,28,26,26,0,0.0292134831460674,1.0,0.9285714285714286,2,gte_mean,45,test,qth_0.75
6,956,22,17,17,0,0.0177824267782426,1.0,0.7727272727272727,2,gte_mean,45,test,qth_0.75
7,1027,45,42,42,0,0.0408958130477117,1.0,0.9333333333333333,2,gte_mean,45,test,qth_0.75
8,973,38,37,37,0,0.0380267214799588,1.0,0.9736842105263158,2,gte_mean,45,test,qth_0.75
9,1008,35,32,32,0,0.0317460317460317,1.0,0.9142857142857143,2,gte_mean,45,test,qth_0.75
all,9984,303,271,271,0,0.0271434294871794,1.0,0.8943894389438944,2,gte_mean,45,test,qth_0.75
0,979,7,6,6,0,0.0061287027579162,1.0,0.8571428571428571,3,gte_mean,45,test,qth_0.75
1,1133,11,9,9,0,0.0079435127978817,1.0,0.8181818181818182,3,gte_mean,45,test,qth_0.75
2,1030,51,45,45,0,0.0436893203883495,1.0,0.8823529411764706,3,gte_mean,45,test,qth_0.75
3,1008,39,36,36,0,0.0357142857142857,1.0,0.9230769230769231,3,gte_mean,45,test,qth_0.75
4,980,27,21,21,0,0.0214285714285714,1.0,0.7777777777777778,3,gte_mean,45,test,qth_0.75
5,890,28,26,26,0,0.0292134831460674,1.0,0.9285714285714286,3,gte_mean,45,test,qth_0.75
6,956,22,17,17,0,0.0177824267782426,1.0,0.7727272727272727,3,gte_mean,45,test,qth_0.75
7,1027,45,42,42,0,0.0408958130477117,1.0,0.9333333333333333,3,gte_mean,45,test,qth_0.75
8,973,38,37,37,0,0.0380267214799588,1.0,0.9736842105263158,3,gte_mean,45,test,qth_0.75
9,1008,35,32,32,0,0.0317460317460317,1.0,0.9142857142857143,3,gte_mean,45,test,qth_0.75
all,9984,303,271,271,0,0.0271434294871794,1.0,0.8943894389438944,3,gte_mean,45,test,qth_0.75
1,1000,1000,989,0,989,0.989,1.0,0.0,0,gte_mean,45,evaluation,qth_0.75
all,1000,1000,989,0,989,0.989,1.0,0.0,0,gte_mean,45,evaluation,qth_0.75
1,1000,1000,989,0,989,0.989,1.0,0.0,1,gte_mean,45,evaluation,qth_0.75
all,1000,1000,989,0,989,0.989,1.0,0.0,1,gte_mean,45,evaluation,qth_0.75
1,1000,1000,989,0,989,0.989,1.0,0.0,2,gte_mean,45,evaluation,qth_0.75
all,1000,1000,989,0,989,0.989,1.0,0.0,2,gte_mean,45,evaluation,qth_0.75
1,1000,1000,989,0,989,0.989,1.0,0.0,3,gte_mean,45,evaluation,qth_0.75
all,1000,1000,989,0,989,0.989,1.0,0.0,3,gte_mean,45,evaluation,qth_0.75
