y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
2,999.0,104.0,999.0,104.0,1.0,0.1041041041041041,1.0,1,None,60.0,test,qth_0.75
3,999.0,73.0,997.0,73.0,0.997997997997998,0.0732196589769308,1.0,1,None,60.0,test,qth_0.75
4,999.0,102.0,998.0,102.0,0.998998998998999,0.10220440881763528,1.0,1,None,60.0,test,qth_0.75
5,997.0,16.0,996.0,16.0,0.9989969909729187,0.01606425702811245,1.0,1,None,60.0,test,qth_0.75
6,999.0,246.0,998.0,246.0,0.998998998998999,0.24649298597194388,1.0,1,None,60.0,test,qth_0.75
7,999.0,43.0,987.0,43.0,0.987987987987988,0.04356636271529889,1.0,1,None,60.0,test,qth_0.75
8,997.0,12.0,997.0,12.0,1.0,0.012036108324974924,1.0,1,None,60.0,test,qth_0.75
9,998.0,27.0,998.0,27.0,1.0,0.027054108216432865,1.0,1,None,60.0,test,qth_0.75
all,9984.0,779.0,9964.0,779.0,0.9979967948717948,0.07818145323163388,1.0,1,None,60.0,test,qth_0.75
0,1000.0,135.0,999.0,135.0,0.999,0.13513513513513514,1.0,2,None,60.0,test,qth_0.75
1,997.0,21.0,995.0,21.0,0.9979939819458375,0.021105527638190954,1.0,2,None,60.0,test,qth_0.75
2,999.0,104.0,999.0,104.0,1.0,0.1041041041041041,1.0,2,None,60.0,test,qth_0.75
3,999.0,73.0,997.0,73.0,0.997997997997998,0.0732196589769308,1.0,2,None,60.0,test,qth_0.75
4,999.0,102.0,998.0,102.0,0.998998998998999,0.10220440881763528,1.0,2,None,60.0,test,qth_0.75
5,997.0,16.0,996.0,16.0,0.9989969909729187,0.01606425702811245,1.0,2,None,60.0,test,qth_0.75
6,999.0,246.0,998.0,246.0,0.998998998998999,0.24649298597194388,1.0,2,None,60.0,test,qth_0.75
7,999.0,43.0,987.0,43.0,0.987987987987988,0.04356636271529889,1.0,2,None,60.0,test,qth_0.75
8,997.0,12.0,997.0,12.0,1.0,0.012036108324974924,1.0,2,None,60.0,test,qth_0.75
9,998.0,27.0,998.0,27.0,1.0,0.027054108216432865,1.0,2,None,60.0,test,qth_0.75
all,9984.0,779.0,9964.0,779.0,0.9979967948717948,0.07818145323163388,1.0,2,None,60.0,test,qth_0.75
0,1000.0,135.0,999.0,135.0,0.999,0.13513513513513514,1.0,3,None,60.0,test,qth_0.75
1,997.0,21.0,995.0,21.0,0.9979939819458375,0.021105527638190954,1.0,3,None,60.0,test,qth_0.75
2,999.0,104.0,999.0,104.0,1.0,0.1041041041041041,1.0,3,None,60.0,test,qth_0.75
3,999.0,73.0,997.0,73.0,0.997997997997998,0.0732196589769308,1.0,3,None,60.0,test,qth_0.75
4,999.0,102.0,998.0,102.0,0.998998998998999,0.10220440881763528,1.0,3,None,60.0,test,qth_0.75
5,997.0,16.0,996.0,16.0,0.9989969909729187,0.01606425702811245,1.0,3,None,60.0,test,qth_0.75
6,999.0,246.0,998.0,246.0,0.998998998998999,0.24649298597194388,1.0,3,None,60.0,test,qth_0.75
7,999.0,43.0,987.0,43.0,0.987987987987988,0.04356636271529889,1.0,3,None,60.0,test,qth_0.75
8,997.0,12.0,997.0,12.0,1.0,0.012036108324974924,1.0,3,None,60.0,test,qth_0.75
9,998.0,27.0,998.0,27.0,1.0,0.027054108216432865,1.0,3,None,60.0,test,qth_0.75
all,9984.0,779.0,9964.0,779.0,0.9979967948717948,0.07818145323163388,1.0,3,None,60.0,test,qth_0.75
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,0,None,60.0,evaluation,qth_0.75
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,0,None,60.0,evaluation,qth_0.75
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,1,None,60.0,evaluation,qth_0.75
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,1,None,60.0,evaluation,qth_0.75
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,2,None,60.0,evaluation,qth_0.75
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,2,None,60.0,evaluation,qth_0.75
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,3,None,60.0,evaluation,qth_0.75
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,3,None,60.0,evaluation,qth_0.75
