y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,0,,60,train,qth_0.75
1,6742,56,55,55,0,0.0081578166716107,1.0,0.9821428571428571,0,,60,train,qth_0.75
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,0,,60,train,qth_0.75
3,6131,96,86,86,0,0.01402707551786,1.0,0.8958333333333334,0,,60,train,qth_0.75
4,5842,112,104,104,0,0.0178021225607668,1.0,0.9285714285714286,0,,60,train,qth_0.75
5,5421,77,72,72,0,0.0132816823464305,1.0,0.935064935064935,0,,60,train,qth_0.75
6,5918,84,81,81,0,0.0136870564379858,1.0,0.9642857142857143,0,,60,train,qth_0.75
7,6265,86,77,77,0,0.012290502793296,1.0,0.8953488372093024,0,,60,train,qth_0.75
8,5851,124,119,119,0,0.0203384036916766,1.0,0.9596774193548387,0,,60,train,qth_0.75
9,5949,139,117,117,0,0.0196671709531013,1.0,0.841726618705036,0,,60,train,qth_0.75
all,60000,935,870,870,0,0.0145,1.0,0.93048128342246,0,,60,train,qth_0.75
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,1,,60,train,qth_0.75
1,6742,56,55,55,0,0.0081578166716107,1.0,0.9821428571428571,1,,60,train,qth_0.75
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,1,,60,train,qth_0.75
3,6131,96,86,86,0,0.01402707551786,1.0,0.8958333333333334,1,,60,train,qth_0.75
4,5842,112,104,104,0,0.0178021225607668,1.0,0.9285714285714286,1,,60,train,qth_0.75
5,5421,77,72,72,0,0.0132816823464305,1.0,0.935064935064935,1,,60,train,qth_0.75
6,5918,84,81,81,0,0.0136870564379858,1.0,0.9642857142857143,1,,60,train,qth_0.75
7,6265,86,77,77,0,0.012290502793296,1.0,0.8953488372093024,1,,60,train,qth_0.75
8,5851,124,119,119,0,0.0203384036916766,1.0,0.9596774193548387,1,,60,train,qth_0.75
9,5949,139,117,117,0,0.0196671709531013,1.0,0.841726618705036,1,,60,train,qth_0.75
all,60000,935,870,870,0,0.0145,1.0,0.93048128342246,1,,60,train,qth_0.75
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,2,,60,train,qth_0.75
1,6742,56,55,55,0,0.0081578166716107,1.0,0.9821428571428571,2,,60,train,qth_0.75
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,2,,60,train,qth_0.75
3,6131,96,86,86,0,0.01402707551786,1.0,0.8958333333333334,2,,60,train,qth_0.75
4,5842,112,104,104,0,0.0178021225607668,1.0,0.9285714285714286,2,,60,train,qth_0.75
5,5421,77,72,72,0,0.0132816823464305,1.0,0.935064935064935,2,,60,train,qth_0.75
