y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,28,28,0,0.0047273341212223,1.0,0.9655172413793104,0,,60,train,relu
1,6742,56,53,53,0,0.0078611687926431,1.0,0.9464285714285714,0,,60,train,relu
2,5958,132,126,126,0,0.0211480362537764,1.0,0.9545454545454546,0,,60,train,relu
3,6131,96,89,89,0,0.0145163921056923,1.0,0.9270833333333334,0,,60,train,relu
4,5842,112,103,103,0,0.0176309483053748,1.0,0.9196428571428571,0,,60,train,relu
5,5421,77,75,75,0,0.0138350857775318,1.0,0.974025974025974,0,,60,train,relu
6,5918,84,80,80,0,0.0135180804325785,1.0,0.9523809523809523,0,,60,train,relu
7,6265,86,80,80,0,0.0127693535514764,1.0,0.9302325581395349,0,,60,train,relu
8,5851,124,119,119,0,0.0203384036916766,1.0,0.9596774193548387,0,,60,train,relu
9,5949,139,124,124,0,0.0208438393007228,1.0,0.8920863309352518,0,,60,train,relu
all,60000,935,877,877,0,0.0146166666666666,1.0,0.9379679144385027,0,,60,train,relu
0,5923,29,28,28,0,0.0047273341212223,1.0,0.9655172413793104,1,,60,train,relu
1,6742,56,53,53,0,0.0078611687926431,1.0,0.9464285714285714,1,,60,train,relu
2,5958,132,126,126,0,0.0211480362537764,1.0,0.9545454545454546,1,,60,train,relu
3,6131,96,89,89,0,0.0145163921056923,1.0,0.9270833333333334,1,,60,train,relu
4,5842,112,103,103,0,0.0176309483053748,1.0,0.9196428571428571,1,,60,train,relu
5,5421,77,75,75,0,0.0138350857775318,1.0,0.974025974025974,1,,60,train,relu
6,5918,84,80,80,0,0.0135180804325785,1.0,0.9523809523809523,1,,60,train,relu
7,6265,86,80,80,0,0.0127693535514764,1.0,0.9302325581395349,1,,60,train,relu
8,5851,124,119,119,0,0.0203384036916766,1.0,0.9596774193548387,1,,60,train,relu
9,5949,139,124,124,0,0.0208438393007228,1.0,0.8920863309352518,1,,60,train,relu
all,60000,935,877,877,0,0.0146166666666666,1.0,0.9379679144385027,1,,60,train,relu
0,5923,29,28,28,0,0.0047273341212223,1.0,0.9655172413793104,2,,60,train,relu
1,6742,56,53,53,0,0.0078611687926431,1.0,0.9464285714285714,2,,60,train,relu
2,5958,132,126,126,0,0.0211480362537764,1.0,0.9545454545454546,2,,60,train,relu
3,6131,96,89,89,0,0.0145163921056923,1.0,0.9270833333333334,2,,60,train,relu
4,5842,112,103,103,0,0.0176309483053748,1.0,0.9196428571428571,2,,60,train,relu
5,5421,77,75,75,0,0.0138350857775318,1.0,0.974025974025974,2,,60,train,relu
6,5918,84,80,80,0,0.0135180804325785,1.0,0.9523809523809523,2,,60,train,relu
7,6265,86,80,80,0,0.0127693535514764,1.0,0.9302325581395349,2,,60,train,relu
8,5851,124,119,119,0,0.0203384036916766,1.0,0.9596774193548387,2,,60,train,relu
