y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5997,334,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
1,5997,32,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
2,5997,315,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
3,5997,169,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
4,5994,309,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
5,5996,27,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
6,5995,812,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
7,5998,179,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
8,5999,22,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
9,5998,90,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
all,59968,2289,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.25
0,5997,334,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
1,5997,32,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
2,5997,315,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
3,5997,169,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
4,5994,309,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
5,5996,27,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
6,5995,812,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
7,5998,179,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
8,5999,22,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
9,5998,90,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
all,59968,2289,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.25
0,5997,334,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
1,5997,32,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
2,5997,315,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
3,5997,169,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
4,5994,309,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
5,5996,27,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
6,5995,812,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
7,5998,179,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
8,5999,22,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
9,5998,90,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
all,59968,2289,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.25
0,5997,334,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
1,5997,32,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
2,5997,315,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
3,5997,169,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
4,5994,309,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
5,5996,27,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
6,5995,812,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
7,5998,179,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
8,5999,22,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
9,5998,90,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
all,59968,2289,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.25
0,1000,135,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
1,997,21,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
2,999,104,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
3,999,73,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
4,999,102,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
5,997,16,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
6,999,246,1,1,0,0.001001001001001,1.0,0.0040650406504065045,0,components,8,test,qth_0.25
7,999,43,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
8,997,12,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
9,998,27,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.25
all,9984,779,1,1,0,0.0001001602564102,1.0,0.0012836970474967907,0,components,8,test,qth_0.25
0,1000,135,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
1,997,21,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
2,999,104,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
3,999,73,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
4,999,102,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
5,997,16,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
6,999,246,1,1,0,0.001001001001001,1.0,0.0040650406504065045,1,components,8,test,qth_0.25
7,999,43,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
8,997,12,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
9,998,27,0,0,0,0.0,0.0,0.0,1,components,8,test,qth_0.25
all,9984,779,1,1,0,0.0001001602564102,1.0,0.0012836970474967907,1,components,8,test,qth_0.25
0,1000,135,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
1,997,21,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
2,999,104,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
3,999,73,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
4,999,102,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
5,997,16,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
6,999,246,1,1,0,0.001001001001001,1.0,0.0040650406504065045,2,components,8,test,qth_0.25
7,999,43,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
8,997,12,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
9,998,27,0,0,0,0.0,0.0,0.0,2,components,8,test,qth_0.25
