y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
40,1489,19,19,19,0,0.012760241773002,1.0,1.0,1,,80,train,qth_0.75
41,1461,27,27,27,0,0.0184804928131416,1.0,1.0,1,,80,train,qth_0.75
42,1432,26,26,26,0,0.0181564245810055,1.0,1.0,1,,80,train,qth_0.75
all,63968,2206,2175,2175,0,0.0340013756878439,1.0,0.985947416137806,1,,80,train,qth_0.75
0,1538,28,27,27,0,0.0175552665799739,1.0,0.9642857142857143,2,,80,train,qth_0.75
1,1483,67,67,67,0,0.0451786918408631,1.0,1.0,2,,80,train,qth_0.75
2,1473,101,101,101,0,0.0685675492192803,1.0,1.0,2,,80,train,qth_0.75
3,1478,72,71,71,0,0.0480378890392422,1.0,0.9861111111111112,2,,80,train,qth_0.75
4,1528,76,76,76,0,0.0497382198952879,1.0,1.0,2,,80,train,qth_0.75
5,1401,110,110,110,0,0.078515346181299,1.0,1.0,2,,80,train,qth_0.75
6,1521,19,19,19,0,0.0124917817225509,1.0,1.0,2,,80,train,qth_0.75
7,1508,53,53,53,0,0.0351458885941644,1.0,1.0,2,,80,train,qth_0.75
8,1497,56,56,56,0,0.0374081496325985,1.0,1.0,2,,80,train,qth_0.75
9,1521,24,24,24,0,0.0157790927021696,1.0,1.0,2,,80,train,qth_0.75
10,1447,32,32,32,0,0.0221147201105736,1.0,1.0,2,,80,train,qth_0.75
11,1485,38,37,37,0,0.0249158249158249,1.0,0.9736842105263158,2,,80,train,qth_0.75
12,1478,6,6,6,0,0.0040595399188092,1.0,1.0,2,,80,train,qth_0.75
13,1477,11,11,11,0,0.0074475287745429,1.0,1.0,2,,80,train,qth_0.75
14,1485,3,3,3,0,0.002020202020202,1.0,1.0,2,,80,train,qth_0.75
15,1460,13,12,12,0,0.0082191780821917,1.0,0.9230769230769231,2,,80,train,qth_0.75
16,1455,18,18,18,0,0.0123711340206185,1.0,1.0,2,,80,train,qth_0.75
17,1478,5,5,5,0,0.003382949932341,1.0,1.0,2,,80,train,qth_0.75
18,1563,48,48,48,0,0.0307101727447216,1.0,1.0,2,,80,train,qth_0.75
19,1504,89,87,87,0,0.057845744680851,1.0,0.9775280898876404,2,,80,train,qth_0.75
20,1496,75,74,74,0,0.0494652406417112,1.0,0.9866666666666667,2,,80,train,qth_0.75
21,1455,58,56,56,0,0.038487972508591,1.0,0.9655172413793104,2,,80,train,qth_0.75
22,1527,32,30,30,0,0.0196463654223968,1.0,0.9375,2,,80,train,qth_0.75
23,1467,44,41,41,0,0.0279481935923653,1.0,0.9318181818181818,2,,80,train,qth_0.75
24,1486,34,33,33,0,0.022207267833109,1.0,0.9705882352941176,2,,80,train,qth_0.75
25,1503,57,55,55,0,0.0365934797072521,1.0,0.9649122807017544,2,,80,train,qth_0.75
26,1532,22,20,20,0,0.0130548302872062,1.0,0.9090909090909091,2,,80,train,qth_0.75
27,1519,23,22,22,0,0.0144832126398946,1.0,0.9565217391304348,2,,80,train,qth_0.75
28,1496,52,49,49,0,0.0327540106951871,1.0,0.9423076923076923,2,,80,train,qth_0.75
