y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
22,1527,32,28,28,0,0.0183366077275704,1.0,0.875,1,top_third,26,train,mean
23,1467,44,43,43,0,0.0293115201090661,1.0,0.9772727272727273,1,top_third,26,train,mean
24,1486,34,28,28,0,0.0188425302826379,1.0,0.8235294117647058,1,top_third,26,train,mean
25,1503,57,53,53,0,0.0352628077178975,1.0,0.9298245614035088,1,top_third,26,train,mean
26,1532,22,21,21,0,0.0137075718015665,1.0,0.9545454545454546,1,top_third,26,train,mean
27,1519,23,22,22,0,0.0144832126398946,1.0,0.9565217391304348,1,top_third,26,train,mean
28,1496,52,51,51,0,0.034090909090909,1.0,0.9807692307692307,1,top_third,26,train,mean
29,1496,24,22,22,0,0.0147058823529411,1.0,0.9166666666666666,1,top_third,26,train,mean
30,1508,18,18,18,0,0.0119363395225464,1.0,1.0,1,top_third,26,train,mean
31,1472,62,62,62,0,0.0421195652173913,1.0,1.0,1,top_third,26,train,mean
32,1473,23,22,22,0,0.0149355057705363,1.0,0.9565217391304348,1,top_third,26,train,mean
33,1464,166,135,135,0,0.0922131147540983,1.0,0.8132530120481928,1,top_third,26,train,mean
34,1519,89,66,66,0,0.043449637919684,1.0,0.7415730337078652,1,top_third,26,train,mean
35,1492,24,22,22,0,0.0147453083109919,1.0,0.9166666666666666,1,top_third,26,train,mean
36,1484,106,79,79,0,0.0532345013477088,1.0,0.7452830188679245,1,top_third,26,train,mean
37,1475,112,84,84,0,0.0569491525423728,1.0,0.75,1,top_third,26,train,mean
38,1401,158,135,135,0,0.0963597430406852,1.0,0.8544303797468354,1,top_third,26,train,mean
39,1541,86,58,58,0,0.0376378974691758,1.0,0.6744186046511628,1,top_third,26,train,mean
40,1489,19,18,18,0,0.0120886501007387,1.0,0.9473684210526315,1,top_third,26,train,mean
41,1461,27,27,27,0,0.0184804928131416,1.0,1.0,1,top_third,26,train,mean
42,1432,26,25,25,0,0.0174581005586592,1.0,0.9615384615384616,1,top_third,26,train,mean
all,63968,2206,1945,1945,0,0.0304058279139569,1.0,0.8816863100634633,1,top_third,26,train,mean
0,1538,28,25,25,0,0.0162548764629388,1.0,0.8928571428571429,2,top_third,26,train,mean
1,1483,67,62,62,0,0.0418071476736345,1.0,0.9253731343283582,2,top_third,26,train,mean
2,1473,101,94,94,0,0.063815342837746,1.0,0.9306930693069307,2,top_third,26,train,mean
3,1478,72,69,69,0,0.0466847090663058,1.0,0.9583333333333334,2,top_third,26,train,mean
4,1528,76,71,71,0,0.0464659685863874,1.0,0.9342105263157895,2,top_third,26,train,mean
5,1401,110,103,103,0,0.0735189150606709,1.0,0.9363636363636364,2,top_third,26,train,mean
6,1521,19,18,18,0,0.0118343195266272,1.0,0.9473684210526315,2,top_third,26,train,mean
7,1508,53,50,50,0,0.03315649867374,1.0,0.9433962264150944,2,top_third,26,train,mean
8,1497,56,50,50,0,0.0334001336005344,1.0,0.8928571428571429,2,top_third,26,train,mean
9,1521,24,22,22,0,0.0144641683103221,1.0,0.9166666666666666,2,top_third,26,train,mean
10,1447,32,31,31,0,0.0214236351071181,1.0,0.96875,2,top_third,26,train,mean
11,1485,38,38,38,0,0.0255892255892255,1.0,1.0,2,top_third,26,train,mean
12,1478,6,4,4,0,0.0027063599458728,1.0,0.6666666666666666,2,top_third,26,train,mean
13,1477,11,10,10,0,0.0067704807041299,1.0,0.9090909090909091,2,top_third,26,train,mean
14,1485,3,3,3,0,0.002020202020202,1.0,1.0,2,top_third,26,train,mean
15,1460,13,12,12,0,0.0082191780821917,1.0,0.9230769230769231,2,top_third,26,train,mean
16,1455,18,17,17,0,0.0116838487972508,1.0,0.9444444444444444,2,top_third,26,train,mean
17,1478,5,4,4,0,0.0027063599458728,1.0,0.8,2,top_third,26,train,mean
18,1563,48,43,43,0,0.0275111964171465,1.0,0.8958333333333334,2,top_third,26,train,mean
19,1504,89,80,80,0,0.0531914893617021,1.0,0.898876404494382,2,top_third,26,train,mean
20,1496,75,66,66,0,0.0441176470588235,1.0,0.88,2,top_third,26,train,mean
21,1455,58,54,54,0,0.0371134020618556,1.0,0.9310344827586207,2,top_third,26,train,mean
22,1527,32,28,28,0,0.0183366077275704,1.0,0.875,2,top_third,26,train,mean
23,1467,44,43,43,0,0.0293115201090661,1.0,0.9772727272727273,2,top_third,26,train,mean
24,1486,34,28,28,0,0.0188425302826379,1.0,0.8235294117647058,2,top_third,26,train,mean
25,1503,57,53,53,0,0.0352628077178975,1.0,0.9298245614035088,2,top_third,26,train,mean
26,1532,22,21,21,0,0.0137075718015665,1.0,0.9545454545454546,2,top_third,26,train,mean
27,1519,23,22,22,0,0.0144832126398946,1.0,0.9565217391304348,2,top_third,26,train,mean
28,1496,52,51,51,0,0.034090909090909,1.0,0.9807692307692307,2,top_third,26,train,mean
29,1496,24,22,22,0,0.0147058823529411,1.0,0.9166666666666666,2,top_third,26,train,mean
30,1508,18,18,18,0,0.0119363395225464,1.0,1.0,2,top_third,26,train,mean
31,1472,62,62,62,0,0.0421195652173913,1.0,1.0,2,top_third,26,train,mean
32,1473,23,22,22,0,0.0149355057705363,1.0,0.9565217391304348,2,top_third,26,train,mean
33,1464,166,135,135,0,0.0922131147540983,1.0,0.8132530120481928,2,top_third,26,train,mean
34,1519,89,66,66,0,0.043449637919684,1.0,0.7415730337078652,2,top_third,26,train,mean
35,1492,24,22,22,0,0.0147453083109919,1.0,0.9166666666666666,2,top_third,26,train,mean
36,1484,106,79,79,0,0.0532345013477088,1.0,0.7452830188679245,2,top_third,26,train,mean
37,1475,112,84,84,0,0.0569491525423728,1.0,0.75,2,top_third,26,train,mean
38,1401,158,135,135,0,0.0963597430406852,1.0,0.8544303797468354,2,top_third,26,train,mean
39,1541,86,58,58,0,0.0376378974691758,1.0,0.6744186046511628,2,top_third,26,train,mean
40,1489,19,18,18,0,0.0120886501007387,1.0,0.9473684210526315,2,top_third,26,train,mean
41,1461,27,27,27,0,0.0184804928131416,1.0,1.0,2,top_third,26,train,mean
42,1432,26,25,25,0,0.0174581005586592,1.0,0.9615384615384616,2,top_third,26,train,mean
all,63968,2206,1945,1945,0,0.0304058279139569,1.0,0.8816863100634633,2,top_third,26,train,mean
0,1538,28,25,25,0,0.0162548764629388,1.0,0.8928571428571429,3,top_third,26,train,mean
1,1483,67,62,62,0,0.0418071476736345,1.0,0.9253731343283582,3,top_third,26,train,mean
2,1473,101,94,94,0,0.063815342837746,1.0,0.9306930693069307,3,top_third,26,train,mean
3,1478,72,69,69,0,0.0466847090663058,1.0,0.9583333333333334,3,top_third,26,train,mean
4,1528,76,71,71,0,0.0464659685863874,1.0,0.9342105263157895,3,top_third,26,train,mean
5,1401,110,103,103,0,0.0735189150606709,1.0,0.9363636363636364,3,top_third,26,train,mean
6,1521,19,18,18,0,0.0118343195266272,1.0,0.9473684210526315,3,top_third,26,train,mean
7,1508,53,50,50,0,0.03315649867374,1.0,0.9433962264150944,3,top_third,26,train,mean
8,1497,56,50,50,0,0.0334001336005344,1.0,0.8928571428571429,3,top_third,26,train,mean
9,1521,24,22,22,0,0.0144641683103221,1.0,0.9166666666666666,3,top_third,26,train,mean
10,1447,32,31,31,0,0.0214236351071181,1.0,0.96875,3,top_third,26,train,mean
11,1485,38,38,38,0,0.0255892255892255,1.0,1.0,3,top_third,26,train,mean
12,1478,6,4,4,0,0.0027063599458728,1.0,0.6666666666666666,3,top_third,26,train,mean
13,1477,11,10,10,0,0.0067704807041299,1.0,0.9090909090909091,3,top_third,26,train,mean
14,1485,3,3,3,0,0.002020202020202,1.0,1.0,3,top_third,26,train,mean
15,1460,13,12,12,0,0.0082191780821917,1.0,0.9230769230769231,3,top_third,26,train,mean
16,1455,18,17,17,0,0.0116838487972508,1.0,0.9444444444444444,3,top_third,26,train,mean
17,1478,5,4,4,0,0.0027063599458728,1.0,0.8,3,top_third,26,train,mean
18,1563,48,43,43,0,0.0275111964171465,1.0,0.8958333333333334,3,top_third,26,train,mean
19,1504,89,80,80,0,0.0531914893617021,1.0,0.898876404494382,3,top_third,26,train,mean
20,1496,75,66,66,0,0.0441176470588235,1.0,0.88,3,top_third,26,train,mean
21,1455,58,54,54,0,0.0371134020618556,1.0,0.9310344827586207,3,top_third,26,train,mean
22,1527,32,28,28,0,0.0183366077275704,1.0,0.875,3,top_third,26,train,mean
23,1467,44,43,43,0,0.0293115201090661,1.0,0.9772727272727273,3,top_third,26,train,mean
24,1486,34,28,28,0,0.0188425302826379,1.0,0.8235294117647058,3,top_third,26,train,mean
25,1503,57,53,53,0,0.0352628077178975,1.0,0.9298245614035088,3,top_third,26,train,mean
26,1532,22,21,21,0,0.0137075718015665,1.0,0.9545454545454546,3,top_third,26,train,mean
27,1519,23,22,22,0,0.0144832126398946,1.0,0.9565217391304348,3,top_third,26,train,mean
28,1496,52,51,51,0,0.034090909090909,1.0,0.9807692307692307,3,top_third,26,train,mean
29,1496,24,22,22,0,0.0147058823529411,1.0,0.9166666666666666,3,top_third,26,train,mean
30,1508,18,18,18,0,0.0119363395225464,1.0,1.0,3,top_third,26,train,mean
31,1472,62,62,62,0,0.0421195652173913,1.0,1.0,3,top_third,26,train,mean
32,1473,23,22,22,0,0.0149355057705363,1.0,0.9565217391304348,3,top_third,26,train,mean
33,1464,166,135,135,0,0.0922131147540983,1.0,0.8132530120481928,3,top_third,26,train,mean
34,1519,89,66,66,0,0.043449637919684,1.0,0.7415730337078652,3,top_third,26,train,mean
35,1492,24,22,22,0,0.0147453083109919,1.0,0.9166666666666666,3,top_third,26,train,mean
36,1484,106,79,79,0,0.0532345013477088,1.0,0.7452830188679245,3,top_third,26,train,mean
37,1475,112,84,84,0,0.0569491525423728,1.0,0.75,3,top_third,26,train,mean
38,1401,158,135,135,0,0.0963597430406852,1.0,0.8544303797468354,3,top_third,26,train,mean
39,1541,86,58,58,0,0.0376378974691758,1.0,0.6744186046511628,3,top_third,26,train,mean
40,1489,19,18,18,0,0.0120886501007387,1.0,0.9473684210526315,3,top_third,26,train,mean
41,1461,27,27,27,0,0.0184804928131416,1.0,1.0,3,top_third,26,train,mean
42,1432,26,25,25,0,0.0174581005586592,1.0,0.9615384615384616,3,top_third,26,train,mean
all,63968,2206,1945,1945,0,0.0304058279139569,1.0,0.8816863100634633,3,top_third,26,train,mean
0,94,0,0,0,0,0.0,0.0,,0,top_third,26,test,mean
1,107,0,0,0,0,0.0,0.0,,0,top_third,26,test,mean
2,97,3,2,2,0,0.0206185567010309,1.0,0.6666666666666666,0,top_third,26,test,mean
3,100,8,6,6,0,0.06,1.0,0.75,0,top_third,26,test,mean
4,107,8,8,8,0,0.0747663551401869,1.0,1.0,0,top_third,26,test,mean
5,95,3,3,3,0,0.031578947368421,1.0,1.0,0,top_third,26,test,mean
6,76,2,2,2,0,0.0263157894736842,1.0,1.0,0,top_third,26,test,mean
7,97,0,0,0,0,0.0,0.0,,0,top_third,26,test,mean
8,125,1,1,1,0,0.008,1.0,1.0,0,top_third,26,test,mean
